खर्च शीर्षक,सुरु बजेट,अन्तिम बजेट,खर्च,खर्च प्रतिशत
चालु खर्च,,,,
२११०० पारिश्रमिक/सुविधा,५०६२६२,५०६२६२,३५३९३०,६९.९१
२१२०० कर्षचारीको सामाजिक सुरक्षा,५६१२,५६१२,२६०९,४६.४९
२२१०० सेवा महसुल,१२५४५४,१२८५२,१०३३९,८०.४५
२२३०० कार्यालय सामान तथा सेवा,२३६२३,२३९२३,२२६९०,९४.८४५
२२४०० सेवा तथा परामर्श खर्च,४८४५०७,४८४५०७,४०६९९,८३.९०
२२५०० कार्यक्रमसम्बन्धी खर्च,१३३६९३,१४०११४,८९१४५८,६३.६३
"२२६०० अनुगमन, मूल्याङ्कन र भ्रमण खर्च",१५९०२,१६४९९,१५२१४,९२.२१
२२७०० विविध खर्च,२६२५,२७२५,२६१४,९८.०६
२६४०० खामाजिक सेवा अनुदान,१११००,१११००,९६५९,८५७.०२
२७१०० खामाजिक सुरक्षा,६०,६०,०,०.००
२७२०० सहायता,१७८८५,२२०८४५,२२०८३,९९.९९
२८१०० सम्पत्ति सम्वन्धी खर्च,५३९३,५३९३,३५६३,६६.०७
अन्य (बाँकी खर्च शीर्षकहरू।,३५७१४,३७१२२,३३५७३,९०.४४
जम्मा,८२१९३०,८३५२४५४,६०९१३१,७२.९३
पुँजीगत खर्च,,,,
३११०० स्थिर सम्पत्ति प्राप्ति खर्च,७६२५००,७६१८००,६९६४३१,९१.४२
कुल जम्मा,१५८४४३०,१५९७०५४,१३०५५६२,८१.७४५
