खर्च शीर्षक,बजेट,अन्तिम बजेट,खर्च,खु प्रतेशत
२२३०० कार्यालष सामान तथा सेवा,२४९७४,२५५२४,२४४१५,९५.६६
२२४०० सेवा तथा परामर्श खर्च,६६५९,९९६८३,९२२२६,९२.५२
२२५०० कार्यक्रम सम्बन्धी खर्च,८७१७७१,८४२०९४,६५२०३०९,७३.६६
"२२६०० अनुगमन, मूल्याङ्कन र भ्रमण खर्च",२७९६६,२७९६६,२२९१८,८१.९४५
२२७०० विविध खर्च,८८००,८८००,७८३०,द्व.९८
२६४०० चामाजिक सेवा अनुदान,३९२८६१,३९९९११,२३४९४४,५८.७५
२७२०० सहायता,२५००,४५००,२३५४,७४.२६
२८१०० सम्पत्ति सम्बन्धी खर्च,७३४१,७३४१,२९७६,८१.४१
अन्य (बाँकी खर्च शीर्षकह),६६७८९,६७३७९,६०६५३,९०.०२
जम्मा,१८८८ ३५७,१८८१८९४,१३०८२०५,६९.५२
पूँजीगत खर्च,,,,
३११०० स्थिर सम्पत्ति प्राप्ति खर्च,२०३७५०,१८२०२१,१०४५९८,१७.४७
कुल जम्मा,२०९२१०७,२०६३९१५,१४१२८०३,६ठ.४४५
