,लक्ष्य,,०% १५० # यथार्थ अवस्था,२०८०।८१ कोअनुमान,२०८५।८६ को लक्ष्य
१,पाँच वर्ष मुनिको बाल मृत्युदर (५६१९ जीवित जन्ममा,सङ्ख्या,२३,२०,१५
२,कुल बजेटमा ९्वास्थ्थको बजेट हिस्सा,प्रतिशत,,,१०
३,परिवार निवाणनका साधन प्रयोग दर,प्रतिशत,३४,३६,५०
४,कुल प्रजजन दर (प्रति महिला),सङ्ख्या,१.४,१.५,२
५,बिचालबरशिकषा (१-१२ कक्षा) शिक्षक विद्यार्थी अनुपात,अङ्ग,१७.७७,१८,२५
६,प्राविधिक शिक्षा प्रदान गर्ने शैक्षिक संस्था,सङ्ख्या,१५९,१६०,१८०
७,वार्षिक बजेटमा शिक्षा क्षेत्रको विनिवोजन,प्रतिशत,भर,,१०
८,बार्षिक ९५०७१९। उच्चयम/व्यवसाय सञ्चालन गर्ने युवा,सङ्ख्या,२२०,२३०,२५०
९,युवा तथा खेलकुद क्षेत्रको वार्षिक बजेट,प्रतिशत,१.२९,१.४०,
१०,सङ्भ्रहालष भ्रमण गर्ने पर्यटक (हजारमा),सङ्ख्या,६५७,७५७,१०००
११,विज्ञान प्रविधि विषयो उच्च शिक्षामा अध्ययनरत विद्यार्थी,सङ्ख्या,१९१३,१९१३,२४००
१२,बेरोजगारी दर,प्रतिशत,,७,
१३,गरिबीको दर,प्रतिशत,११.व८,११,७
१४,सार्वजनिक प्रशासन सेवामा महिला भ्रतिनिषित्व,प्रतिशत,४०,४१,४
१५,रोजगरी हासिल गरेका अपाङ्गता भएका व्यक्ति,सङ्ख्या,४००,४२५,२५०
