= शीर्षक,सुरु बबेट,अन्तिम बबेट,खर्च,खर्च प्रतिशत
चालु खर्च,,,,
२११०० पारिश्रमिक/सुविधा,१९८२४,१९८२४,११४५१७,१८.१०
२१२०० कर्मचारीको सामाजिक सुरक्षा,३४२,३४२,१०३,३०.१२
२२१०० सेवा महसुल,९१९,९१९,श्द३,२२.५६
२२३०० कार्यालय सामान तथा सेवा,१९१०,२४१०,१९८१,८२.२०
२२४०० सेवा तथा परामर्श खर्च,३७२७,३७२७,२९०४,७७.९२
२२५०० कार्यक्रम सम्बन्धी खर्च,४३५०५,४३००४५,७८३४,१८.२२
"२२६०० अनुगमन, भूल्याङ्गन र भ्रमण खर्च",१७५०,१७५०,१०३०,श८.८६
२२७०० विविध खर्च,७७०,७७०,७६९,९९.८७
२८१०० सम्पत्ति सम्वन्धी खर्च,६००,६००,०,०.००
अन्य (बाँकी खर्च २र्षकह),४२५३,४२५३,३०९६,७२.८०
जम्मा,७७६००,७७६००,२९७१८,३८.३०
खर्च,,,,
३११०० स्थिर सम्पत्ति प्राप्ति खर्च,१८०००,१८०००,५१९०,स्८.द३
जम्मा,९५६००,९५६००,३४९०८,३६.५१
