. क्रस.,आवधिक धाजनाको विवरण,छदा,२०७९।८०को (,२०८०।८१ | छो अट्मान,२०८५।८६ को लक्ष्य
१,आर्थिक वृद्धि,प्रतिशत,३.६९,४.२३,१०.३८
२,कृल गाहहस्थ्य उत्पादन,दशलमा,४२९१७१,४५७६६५,६९३८०३
३,गरिवी दर,प्रतिशत,११.द८,११,७
४,बहुआवमिक गरिवी,प्रतिशत,९.६,१०,६
५,प्रति व्यक्ति आय,डलर,१४९९,१५९६,२५००
६,सेमजारीमा ओष्चारिक क्षेत्रको हिँसा,प्रतिशत,,४४.१,[१
७,वित्तीय तथा बिमा /्रःबाकलाप कुल गा्हस्त उत्पादनमा,प्रतिशत,५.९८,४.२५,८.३६
८,अन्तरिक राजस्व सङ्कलन,रु. करोड,१०९,५१७,७२६
९,कूल बजेट खर्च,रु. करोड,३५९१,३३४३,४२१७
१०,आन्तरिक त्रण परिचालन,रु. करोड,२००,१७०,२३२
