,,अधुल असुल भएको
सन,/ नाम,ही कार्यालय कार्यालय सङ्ख्या 'रकम सङ्ख्या रकम बाँकी रकम
क,सरकारी कार्यासबहरू तर्फ,नभएको
१,प्रदेश सभा सचिवालय,नभएको
र्‌,सुल्यसन्त्री तथा मन्त्रिपरिषद्को कार्यालय,नभएको
३,आर्थिक मामिला मन्त्रालय,नभएको
,उर्जा जलस्रोत तथा खानेपानी मन्त्रालय,नभएको
भू,"उद्योग, पर्यटन वन तथा वातावरण मन्त्रालय",नभएको
४,"कृषि, भूमि व्यवस्था तथा सहकारी मन्त्रालय",नभएको
७,भौतिक पूर्वाधार शहरी विकास तथा यातायात मन्त्रालय,नभएको
,सामाजिक विकास तथा स्वास्थ्य मन्त्रालय,नभएको
,प्रदेश नीति तथा योजना आयोग,नभएको
१०,प्रदेश लोक सेवा आयोग,नभएको
११,मुख्य न्वायाधिवक्ताको कार्यालय,नभएको
ख,समितितर्क,नभएको
,जम्मा,
