,,,विनियोजन,,,,,राजस्व,,,,घरीटी,,,अन्य,कारोबार,,सेखापरीक्षण
कस.,'मन्त्रालय/ निकायको नाम,,,,,लेखापरीक्षण,,,सम्पन्न,लेखापरीक्षण,गर पर्ने,,सम्पन्न,लेखापरीक्षण,,,सम्पन्न,
,,एकाइ,रकम,एकाइ,रकम,एकाइ,रकम,एकाइ,रकम,एकाइ,रकम,एकाइ,रकम,एकाइ,रकम,एकाइ,रकम,
१,कर्णाली प्रदेश सभा सचिवालय,१,११२४२२,०,०,१,२०३,०,०,१,६९४,०,०,०,०,०,०,०
२,मुख्यमन्त्री तथा मन्त्रिपरिषद्को कार्यालय,२,२३४७५१,र,२३४७५१,१,३२९,१,३२९,र,१२७६,२,१२७६,१,१०४८,१,१०४८,२३७४०४
३,अन्तरिक मामिला तथा कानुन मन्त्रालय,१,२६६५९६,१,२६६५९६,१,१२१०,१,१२१०,१,६९३०,१,६९३०,१,३६००३६,१,३६००३६,६३४७७२
४,आर्थिक मामिला तथा योजना मन्त्रालय,११,१३९७९३,११,१३९७९३,११,८४५०१६५,११,८४५०१६५,१०,२१३०९,१०,२१३०९,९,३०३०२,९,३०३०२,८६४१५६९
५,"उ्चोग,पर्यटन,वन तथा वातावरण मन्रालय",२६,१४१७६४८,२६,१४१७६४८,२४५,१२६८९९,२५,१२६८९९,२४५,१२७०७२,२५,१२७०७२,१४,४३५१३,१४,४३५१३,१७१५१३२
६,जलस्रोत तथा उर्जा विकास मन्त्रालय,११,२२८०२८३,११,२२८०२८३,११,५६२२,११,६२२,११,३८२०४५,११,३८२०४५,२,४४,२,१४४४,२६६९४९४
७,"भूमिव्यवस्था,कृषि तथा सहकारी मन्बालय",२७,१२९३००७,२७,१२९३००७,२५,९९२९,२४,९९२९,२१,३१६९७,२१,३१६९७,६,३२३५,६,३२३५,१३३७८६८
८,भौतिक पूर्वाधार तथा शहरी विकास मन्त्रालय,१६,५९१२१५२,१६,५९१२१५२,१६,३९३७४०,१६,३९३७४०,१५,७२७७७१,१५,७२७७७१,४,१२९१,,१२९१,७०३४९५४
९,सामाजिक विकास मन्त्रालय,२८,४१०७५१६,२८,४१०७५१६,,२१७१२,२४,२१७१२,२०,२८४५१४,२०,२८४५१४,१६,इ३०८४९८,१६,३०८४९८,४७२२२४०
१०,कर्णाली प्रदेश योजना आयोग,१,२७१९९,१,र२७१९९,०,०,०,०,०,०,०,०,०,०,०,३,२७१९९
११,प्रदेश लोक सेवा आयोग,१,द४४०४,१,द४४०४,१,२४०६१,१,२४०६१,१,३२२,१,३२२,०,०,०,०,१०८७८७
१२,मुख्य न्यायाधिवक्ताको कार्यालय,१,१६४३३,१,१६४३३,१,१,१,१,०,०,०,०,०,०,०,०,१६४३४
१३,अर्थ विविध,०,१३८६,०,१३८६,०,०,०,०,०,०,०,०,०,०,०,०,१३८६
१४,स्थानीय तह,०,४१०३८७४,०,४१०३५७४,०,०,०,०,०,०,०,०,०,०,०,०,४१०३८७४
,जल जम्मा,१२६,१९९९७४६४,१२५,१९८८५०४२,११७,९०३३८७१,११६,९०३३६६८,१०७,१५८३५८९,१०६,१५८२९३६,५३,७४९४६७,५३,७४९४६७,३१२५१११३
