कस.,,,प्रारम्भिक,बेरुजू,,,फ्याट,,,बाँकी,बेरुजू,,,,,बेरुजू,,,,
,,'दफासङ्ख्या,,,दफा,सङ्ख्या,,प्रतिकियाबाट,दफा,सङ्ख्या,,,,-ााा-,३,,,,जम्मा पेस्की,
,िकाय/कार्यलयको नाम,सैडान्तिक,सगति,,,,,थप,,लगति,,बु,बनियमित भएको,कागजात पेस जभएको,निम्मेवारी 'नसारेको,सोधमनी नलिएको,ज्झा,कमारी पेस्की,अन्य येस्की,जम्मा
१,"जिल्ला अस्पताल,कालीकोट",१३,१०,३३,०,०,०,०,१३,१०,३३,३३,०,०,०,०,०,०,,०
२,"जिल्ला अस्पताल,डोल्पा",१५,,१७५५,०,०,०,०,१५,५४,१७५५,३०८,०,४४७,०,०,४४७,१०००,०,१०००
३,"जिल्ला अस्पताल,दैलेख",९,५,२७९०,०,०,०,,९,५,२७९०,७३,१९७९,३७३८,०,०,५७१७,,०,०
४,"जिल्ला अस्पताल,हुम्ला",१२,३२,७६४५,०,०,०,०,१२,३२,७६५,७६४५,०,०,०,०,०,०,०,०
५,"जिल्ला अस्पताल,मुगु",२५,४९,३९३३,०,३,३१,०,२४५,४६,३९०२,६४५४,२४९९,७४९,०,०,इस्ट,०,०,०
६,"जिल्ला अस्पताल,सल्यान",१९,३६,९६३७,०,७,९७,७्७्ट,१९,२९,१०३१८,६०३,९६३६,७९,०,०,९७१५,०,०,०
७,"जिल्ला अस्पताल, रुकुमपश्चिम",२७,२६,१८४०४,०,११,७९८,०,२७,१५,१७६०६,९२५,१५६८७,१९९४,०,०,१६६८१,०,०,०
८,"जिल्ला अस्पताल, जाजरकोट",१७,३,१०२६०,०,६,४०२,०,१७,२५,९७५८,८०७,८५८९,२६२,०,०,५८५१,१००,०,१००
९,"मेहलकुना अस्पताल,सुर्खेत",१७,१,शर,०,०,०,०,१७,१,शर,०,०,,०,०,,०,०,०
१०,"प्रदेश अस्पताल, सुर्खेत",२६,७,२७७६,१,३,१४५९,०,२५,४,४७३१७,९६०,४३३२३,३०३४,०,०,४६३५७,०,०,०
११,"प्रदेश खेलकुद परिषद्‌, सुर्खेत",१४,३,६८५४,०,०,०,०,१४,३,६८५४,०,५३,६३६९,०,०,६४५७,०,४००,४००
१२,"कर्णाली प्रदेश प्रशिक्षण प्रतिष्ठान,सुखेत",१८,,०,०,०,०,०,,०,०,०,०,०,०,०,०,०,०,०
,जम्मा,२१२,२८७,११०२१५,१,३३,६८०७,७७८,२११,,१०४१०६,५१२८,१८०१,१५६७७,,०,९७४७८,११००,४००,१५००
