क्रस.,मन्त्रालय/निकाय,गत वर्षको झ ज्दात,यस वरको आम्दानी,जम्मा आम्दानी,फिर्ता/सदरस्याहा,बाँकी मंज्दात
१,अन्तरिकमामिला तथा कानुन मन्त्रालय,६४१४,५१६,६९३०,४००,६५३०
२,अआर्थिकमामिला तथा योजना मन्त्रालय,१८०१३,३२९६,२१३०९,२४१,२१०६८
३,उद्योग पर्यटन बन तथा वातावरण मन्त्रालय,१००१८४५,२६८०७,१२७०७२,२१३४८,१०५७२४
४,जलस्रोत तथा उर्जा विकास मन्त्रालय,३१०४०९,७१६३६,३८२०४५,७७०५६,३०४९८९
५,प्रदेशलोकसेवा आयोग,२६७,२५,३२२,५६,२६६
६,कर्णाली प्रदेश सभा सचिवालय,३८६,२६८,६५४,३२६,३२८
७,भूमि व्यवस्था कृषितथा सहकारी मन्त्रालय,२५०५९,६६३८,३१६९७,३१३३,२८५६४
८,भौतिक पूर्वाधार तथा शहरी विकास मन्त्रालय,४५८५६३,२६९२०८,७२७७७१,१८६४०५,५४१३६६
९,मुख्यमन्त्री तथा मन्त्रिपरिषद्को कार्यालय,१०२९,२४७,१२७६,२०२,१०७४
१०,सामाजिक विकास मन्त्रालय,२११५५४५,७२९४५८,२८४५१३,१०२१४९,१८२३६४
११,जम्मा,११३१८८०,४५१७०९,१५८३५८९,२९१३१६,११९२२७३
