कस,मन्त्रालयको नाम,'लेखा उत्तरदायी अधिकृतको नाम,अवधि,लेखापरीक्षण अङ्ग,बेरुजु अङ्ग,लेखापरीक्षण अङ्कको तुलनामा बेरुजु प्रतिशत
१,कर्णाली प्रदेश सभा सचिवालय,सचिव श्री जीवराम बुढाथोकी,२०८१।०४।०१ देखि २०८२।०३।३२ सम्म,०,०,०.००
,मन्त्रिपरिषदको मुख्यमन्त्री,सचिव श्री आन्नद सारु ©,०५१।०४।१ देखि २०८१।११।०१ सम्म १ २००१।११।०१,,,
२,तथा मन्ति कार्यालय -,- सचिव श्री घोलकराज ढकाल,देखि २०५९१९९१०३ देखि २०८२।०३।३२ सम्म,२८२८७२,२५,०५५
३,आर्थिक मामिला तथा योजना मन्त्रालय,सचिव श्री रविलाल शर्मा,२०५९ १० |०९ देखि २०८२।०३।३२ सम्म,८६४१५६९,९९४०४,०.१४
,तत,सचिव श्री कमान सिंह खत्री,२०८१।०४।०१ देखि २०८१।०६।१६ सम्म,,,
४,आन्तरिक मामिला तथा कानून मन्त्रालय न्तरिक न्त्राल,सचिव श्री पुष्पराज शही,देखि २०५९१०८९१९९ देखि २०८२।०३। ३२ सम्म,६३४७७२,२२५४४,१४५
,,सचिव श्री केदार बराल,२०८१।०४।०१देखि २०८१।०६।०६ सम्म,,,
५,"उद्चोग,पर्यटन वन तथा वातावरण मन्त्रालय",'सचिव श्री दीर्घ नारायण कोइराला,२०८९ |० |० देखि २०८२।०२।०८ सम्म,१७१५१३२,२९११७,१.७०
,,सचिव श्री शेर बहादुर श्रेष्ठ,२०८२।०२।०९ देखि २०८२।०३।३२ सम्म,,,
,उर्जा,सचिव श्री नविनचन्द्र अधिकारी,२०८१।०४।०१ देखि २०८१।०७। २० सम्म,,,
६,जलस्रोत तथा विकास मन्त्रालय,सचिव श्री ईन्द्रदेव भट्ट,देखि २०८१।०७।२५ देखि २०८२।०३।३२ सम्म,२६६९४९४,४२१६९,१४५
,भूमि कृषि,सचिव श्री टिकाराम थापा,२०८१।०४।०१ देखि २०८१।०९।२९ सम्म,,,
७,"व्यवस्था, तथा सहकारी मन्त्रालय लि हि",सचिव श्री परशुराम रावत,२०८१।१०।०६ देखि २०८२।०३।३२ सम्म,१३३७८६८,२७७९९,२.०८
,भौतिक सहरी विकास,सचिव श्री विष्णु भण्डारी,०८१।०४।०१ देखि २०८१।०७ सम्म नट १०४१ ०१ १९,,,
५,पूर्वाधार तथा मन्त्रालय,सचिव श्री ईश्वरचन्द्र मरहट्टा,देखि २०८१।०७।१२ देखि २०८२।०३।३२ सम्म,७०३४९५४,३९२७७०,५५८
,,सचिव श्री दीर्घबहादुर पोखरेल,२०८१।०४।०१ देखि २०८२।०१।०१ सम्म,,,
९,सामाजिक विकास मन्त्रालय (अन्य संस्था तथा समिति समेत),'सचिव श्री जवाहरलाल हमाल,२०८२।०१।०२ देखि २०८२।०१।०६ सम्म,१०६२३७३५,१७६९५६,१.६७
,,सचिव श्री अर्जुन गौतम,२०८२।०१।०४ देखि २०८२।०३।३२ सम्म,,,
,- - प्रदेश सेवा,सचिव श्री लोक प्रसाद न्यौपाने,२०५९ १० १०९ देखि २०८१।११। २९ सम्म गै न १४१ २७,,,
१०,लोक आयोग,पूरणमान ३ सचिव श्री पूर्णमान श्रेष्ठ,देखि २०५९१९३ १०९ देखि २०८२।०३।३२ सम्म,१०८७८७,२६२,०.२४
११,मुख्य न्यायधिवक्ताको कार्यालय,उप-न्यायाधिवक्ता श्री रत्न प्रकाश गिरी,२०८१।०४।०१ देखि २०८२।०३।३२ सम्म,१६४३४,०,०.००
१२,कणाली प्रदेश योजना आयोग,प्रशासकीय प्रमुख श्री नेत्रबहादुर कार्की प्रशासकीय प्रमुख श्री महेन्द्र जङ्ग शाही प्रशासकीय प्रमुख श्री गोपाल के.सी.,२०८१।०४।०१ देखि २०८१।०७।१० सम्म २०८१।०७।११ देखि २०८२।०२।०९ सम्म २०५३१०२१९९ देखि २०५३१०३१३९ सम्म,२७१९९,,०.०%
