खर शीर्षक,सुरु बबेट,अन्तिम बजेट,खर्च,खर्च प्रतिशत
२२२०० पुँजीगत सम्पतिको सञ्चालन,१९१६३,१९२३८,१६७६४,८७.१४
२२३०० कार्यालष सामान तथा सेवा,९५९५,१०७४५,१०११३,९४.१२
२२४०० सेवा तथा परामर्श खर्च,१०८९४५,१०६४४५,९६२२,९०.३९
२२५०० कार्क्रमसम्बन्धी खर्च,१७५३४०,१४७४२०,२४९०३,१६.८९
"२२६०० अनुगमन, ूल्याङ्गन र भ्रमण खर्च",१३६१५,१३२६५,१०८६८,८१.९३
२२७०० विविध खर्च,४२२५,४२२५,३३४९,७९.२७
२८१०० सम्पत्ति सम्बन्धी खर्च,२०८८,१७८८,४९४५,२७.६८
जम्मा,३२०७५२,२९२४५७,१४०७३६,४८.१२
एंजीगत खर्च,,,,
३११०० स्थिर सम्पत्ति प्राप्ति खर्च,६०५३८,१२३६८३,९४०१५,७६.०१
कुल जम्मा,३८१२९०,४१६१४०,२३४७५१,२५६.४१
