जिल्ला,,,'बजेट,,,खर्च,,बजेट,खर्च प्रतिशत
,चालु,पुँजीगत,कित्तीय व्यवस्था,जम्मा,चालु,पुँजीगत,जम्मा,प्रतिशत,
रुकुम,८८१५८६,१७४५९९९३,०,२६४१५७९,७४१४६२१,१२४५८४९७,२०१३११८,८४१,१०.०४
सल्यान,८२८४२५,१३७७४७८,०,२२०५९०३,६५८५०७८,१०६४८२८,१७४९९०५,७.०२,८.७४५
डोल्पा,५३५३५३,१०२१६७९,०,१७५८०३२,६५३४९३३,६५३२४५,१२९८१७७,२.६,६.४९
जुम्ला,७२४७९५,९९९७२७,०,१७२४५२२,६०१०१९,८५६९४९,१४५७९६७,"२,४९९",७.२९
मुगु,२५६२५०८०,११०८९११,०,१६६५१६९,४४६७१८,२९२७५६,१०३९४७४,€३,२.२०
हुम्ला,७०६१९४,१३४८११७,०,२०४४३११,१५६६१५३,९६४६७१,१४५३०८२४,६४५४,७.६६
कालिकोट,७७२१२२,८९९०८१,०,१६७१२०४,६४७७७७,६८८६११,१३३६३८८,१.३२,४५
जाजरकोट,८६००५६,९२५९८९,०,१७८६०४५,७०२८०५,६५८९४९३,१३९२३७९,५.६९,५.६६
दैलेख,११३८३३९,१३४०३४०,०,२४७५६७८ड,९४८९६७,९२९२९१,१५७८२४८,७८९,
सुर्खेत,४५१६९९०१,८००४६९९,२५००००,१३४२४६००,३०८२८११,३२१८१६४,६३००९७४,४२.७४,३१.५१
जम्मा,१२३७४०२८,१५७८६०१३,२४५००००,३१४१००४१,९०७०९६०,१०९२६४०४,१९९९७४६४,१००,१००
