खर्च शीर्षक,,अन्तिम बजेट,खर्च,खर प्रतेशत
२२३०० कार्यालय सामान तथा सेवा,१९२८३,१९२८३,१५१६७,७८.६५
२२४०० सेवा तथा परामर्श खर्च,३४७२७,३४५२७,२४४४८,७०.८१
२२५०० कार्यक्रम सम्बन्धी खर्च,२२४५४,२२४५४,९५९६,४२.७४
"२२६०० अनुगमन,ूल्याङ्ग र भ्रमण खर्च",१४६०३,१४३०३,१०६११,७४.१९
२२७०० विविध खर्च,६६७५,६६७५,५६५७,८४.७५
२८१०० सम्पत्ति सम्बन्धी खर्च,१५०१०,१५०१०,१००६६,६७.०६
जम्मा,२८७२१५,२८६७१५,२१०९४२,७३.५७
एंजीगत खर्च,,,,
३११०० स्थिर सम्पत्ति प्राप्ति खर्च,१०१६७७२४,१०१३३३७४,५७०१२१०,१६.२६
३१४०० प्राकृतिक सम्पत्ति,१०५००,१०४००,,
जम्मा,१०१७८२२४,१०१४३८७४,२७०१२१०,६.२०
कुल जम्मा,१०४६५४३९,१०४३०५८९,२५९१२१५२,२६.६ठ
