सूचक नं.,प्रमुख सूचक,एकाई,आधार छ,सन्‌ २०३० [|,नेपालको ५५,'सम्मको प्रदेशको प्रगति
२.१,'कमतौल भएका ५ वर्ष मुनिका वालवालिका,प्रतिशत,३०.१,,१८.७,१८
२.२,पूड्कोपन ५ वर्ष मुनिको,प्रतिशत,३६,१०,स्व,३६
३.१,प्रतिलाख जीवितजन्ममा नाचृभृत्युदर,सङ्ख्या,२५८,७०,१५१,१७२
३.२,५ वर्ष मुनीका वाल मृत्युदर,प्रति हजार,डेट,२०,२५,
३.३,नवजात शिशु मृत्युदर,प्रति हजार,२२,१२,२१,२६
३.६,सन्तानको चाहना पुरा भएको परिवार नियोजन,प्रजनन समुह प्रतिशत,६६,,२४५.,२७.७
३.७,परिवार नियोजन साधन र विधि प्रयोग दर,उमेर समुह प्रतिशत,४७,६०,४०,३६
३५,कुल प्रजनन दर,प्रति महिला,२.३,२.१,२.१,२.६
४.१,खुद भर्नादर (१-५ सम्म),प्रतिशत,२९.६,९९.५,९४.४,९४.९
४.३,खुद भर्नादर (१-८ सम्म,प्रतिशत,७६.६,९५,९४.९,९४४
४५,युवा साक्षरता दर,प्रतिशत,५्ब६,९९,९४.२,९४
३,लैङ्गिक रुपान्तर,अनुपात,०.४९,०.२५,०.४९५,०.५५८
२.६,प्रदेशमा महिला सहभागिता,प्रतिशत,,४०,३६.३६,३०४
