क्रस,'सूचक,एकाई,२०८०।८१ २ स्थिति,२०८१५।८६.,२०८१। २को लक्ष्य,२०८१।८२ प्रगति को प्रगति
१,अन्तदाको अपेक्षित आयु,वर्ष,७२.५,७३,७३.२,७२.६
२,वबालमृत्युदर प्रति हजार,जना,३५,२०,स्व,३५
३,मातृमृत्युदर प्रति लाख,जना,१६१,७०,१६१,१६१
४,३० मिनेटको दुरीमा आधारभूत स्वास्थ्य सेवामा पहुँच भएको परीवार,प्रतिशत,५,७५,७५,५०
५,स्वास्थ्यविमामा आवद्ध जनसङ्खव।,प्रतिशत,३५,,२१,४०
६,साक्षरता दर,प्रतिशत,७७,४,,७९
७,आधारभूत तह विद्यालय भर्नादर,प्रतिशत,९५.६,९९,९६.४५,९६
८,शिक्षक विद्यार्थी अनुपात आधारभूत तह ~ (१-८),अनुपात,३९,३०,,३३
९,शिक्षक विद्यार्थी अनुपात माध्वामिक तह (९-१२),अनुपात,,,,२६
१०,युवा बेरोजगारी दर,प्रतिशत,७.५,३,९,६.८
११,युवा साक्षरता दर,प्रतिशत,९४,९६,९९,
