खच शीर्षक,सुरुबबेट,अन्तिम बजेट,खच,खच प्रतिशत
चालु खर्च,,,,
२११०० पारिश्रमिक सुविधा,१५७८६,१५७८६,१०७७४५,६८.२६
२१२०० कर्मचारीको लामाजिक सुरक्षा,११९,११९,,३१.९३
२२१०० सेवा महसुल,७१२,७१२,२२३,३१.३२
२२२०० पुँजीगत सम्पत्तिको सञ्चालन,२९८७,३६८७,२७८८,७५.६२
२२३०० कार्यालय सामान तथा सेवा,२५८४,१४,१५५७,८२.६४
२२४०० सेवा तथा परामर्श खर्च,२२९४,२२९४,१९७८,८६.२२
२२५०० कार्यक्रमसम्बन्धी खर्च,११४०८,११९०८,५६२२,४७.२१
"२२६०० अनुगमन, र भ्रमण खर्च",१९७८,१९७८,ब्व्श,४९.८०
२२७०० विविध खर्च,७६०,७६०,६८२,८९.७४
२८१०० सम्पत्ति सम्बन्धी खर्च,१८७२,१८७२,१७१४,९१.५६
जम्मा,४०५००,४१०००,२६३६२,६४.३०
पुँजीगत खर्च,,,,
३११०० स्थिर सम्पत्ति प्राप्ति खर्च,१०००,१०००,८३७,८३.७०
तल जम्मा,४१५००,४२०००,२७१९९,६४.७६
