कस.,सूचक,लि,२०८०।८१ को उपलन्धि,दोस्रो आवधिक बाजनाको लक्य,२०८१।५८२ को उपसान्च
१,अआर्थिकवृद्धि दर,प्रतिशत,३.२९,९.९,२.५
२,कृषिक्षेत्रको औसत वृद्धि दर,प्रतिशत,२.२,३,[बै
३,प्रतिव्यक्ति आय,अमेरिकी डलर,१०६६,१६५७,१२५८
४,गरिबीको रेखामुनी रहेको जनसख्या,प्रतितश,२२.३,१३.२,२२.३
५,नेरीजगारी दर,प्रतितश,७.५,र,€५
६,अपेक्षित आयु,वर्ष,७३,७३,७२.६
७,साक्षरता दर,प्रतिशत,७७,९५,७९
८,लैङ्गिक विकास,सूचकाङ्क,०.९०२,०.९३,०.९०५
९,मानव विकास,सूचकाङ्ग,०.१३८,०.६,०.१७५
१०,आधारभुत खानेपानी पहुच पुगेको परिवार,प्रतिशत,९०,थ्व,९०.४५
११,इन्टरनेट पुगेको शनसष्या,प्रतिशत,७४,,७५
१२,विद्युत पहुच प्राप्त परिवार,प्रतिशत,७१,९५,७१
