परिच्छेद,। शीर्षक,पृष्ठ
महालेखापरीक्षकको भनाइ,,
"लिखापरीक्षणको उद्देश्य, क्षेत्र र पद्धति",,
कीकृत वित्तीय विवरणमा राय,,
परिच्छेद १,लेखापरीक्षण गरिएका निकायको विवरण ..........................न4444447714444447777244,१
परिच्छेद २,"लेखापरीक्षणबाट देखिएका बेरुजु स्थिति ..................... न, नन नननननन नप नननमममममननन",Y
परिच्छेद ३,लेखापरीक्षणबाट देखिएका प्रमुख बेहोराको सारांश ............................1...--1--77,]
,खण्ड - १ : मन्त्रालय र निकायगत बेहोरा,
,१. प्रदेश सभा सचिवालय .................... seee e seesesenee s neesesseenas,१७
,२. मुख्यमन्त्री तथा मन्त्रिपरिषद्को कार्यालय .....................नन००71177777777777,२०
,३. आर्थिक मामिला तथा योजना मन्त्रालय oo ककन,२७
,४. आन्तरिक मामिला तथा कानुन मन्त्रालय oo,३७
,"४५. उर्जा, जलस्रोत तथा सिँचाइ मन्त्रालय oo",४३
,"६. उद्योग, पर्यटन तथा यातायात T, ...",1
,"७. कृषि, भूमि व्यवस्था तथा सहकारी मन्त्रालय oo",[3
,८. भौतिक पूर्वाधार विकास T ...,६१
,९. वन तथा वातावरण मन्त्रालय......................4447144472 4 कप पकपपपककपपककपककककन,७०
,"१०. शहरी विकास तथा खानेपानी AT, ...",७९
,११. सामाजिक विकास मन्त्रालय ..o,दद
,"१२. स्वास्थ्य मन्त्रालय .............. 4444, कक कपननननममममममममममा",९३
,"१३. युवा तथा खेलकुद मन्त्रालय......................-,, नन प न पननननमनमममममममममममता",१०१
,"१४, प्रदेश योजना आयोग ................... 44, नपन न ननननननननमननममममममममममननमन",१०४
,"१५, प्रदेश लोक सेवा आयोग ................. नन, eeee e",१०८
,"१६. मुख्य न्यायाधिवक्ताको कार्यालय .................,,44-,, पपन नपममपननन",११०
,खण्ड - २ : स्थानीय तह .................114444477775,११३
परिच्छेद ४,लेखापरीक्षण प्रतिवेदन कार्यान्वयनको स्थिति ......,११९
परिच्छेद ५,"भविष्यमा गर्नुपर्ने सुधार ............................1,,44ककनननननमममममममममममममममममममनन",१२१
,अनुसूचीहरू crvrerrrrrrrnssnsssssnssssssssssnsssssssssssssssssssssssssssssssssssssssns,१२५
