. क्रस.,कार्यालयको नाम,अन्तिम बजेट,,निकासा /खर्च
,,चालु,| पुँजीगत,चालु
३७,"| नापी कार्यालय, दाङ्ग",४००,| ०],४००
३८,"| नापी कार्यालय, तुल्सीपुर",300,०],३००
३९,"। मालपोत कार्यालय, नेपालगंज",३००,| ०],३००
४०,"| नापी कार्यालय, नेपालगंज",३००,। ०],२६९
४१,"| मालपोत कार्यालय, वर्दिया",३००,। ०],३००
४२,"| मालपोत कार्यालय, राजपुर",Roo|,०],१४९
४३,"| नापी कार्यालय, वर्दिया",३००,| ०],२७३
४४,"| नापी कार्यालय, राजपुर",२००,| ०],१६०
४५,"। मालपोत कार्यालय, लमही",zoo|,०],१९९
४६,"नापी कार्यालय, लमही",३००,| ०],३००
।,,१२०००,०],११४७४
,| जम्मा आन्तरिक मामिला तथा कानून मन्त्रालय,|,,
४७,"| ईलाका प्रहरी कार्यालय,वानियाभार",५०००,| ०],५०००
४८,"। इलाका प्रहरी कार्यालय नवलपरासी, सुनवल",4000,| ०],३२०९
«२,,,,२९००
५०,"जिल्ला प्रहरी कार्यालय ,बाँकि",४०००,| ०],३५३२
५२,"। जिल्ला प्रहरी कार्यालय ,रुकुमकोट( पूर्वी रुकुम )",५००,| ०],१४९६
५३२,| इलाका प्रहरी कार्यालय सालझन्डी,२०००,| ०],१९४३
५४,| नेपाल प्रहरी विशेष सुरक्षा गण सुनवल,R000,| ०],२०००
५५,"| प्रहरी चोकी पोहवा, गोडहवा ४, रुपन्देही",१५००],० |,१४२४
५६,"| प्रहरी चौकी शान्तिवजार गौडहवा, ७ रुपन्देही",oo,| o],१४२४
५७,लुम्विनी प्रदेश प्रहरी तालिम केन्द्र बुटवल रुपन्देही,yooo,| ० |,७०
YT,"| इलाका प्रहरी कार्यालय, कोहलपुर",R000,| ० |,१९८१
५९,"| सशस्त्र प्रहरी वल प्रदेश कार्यालय, चन्द्रौटा",yooo,| ० |,४५६७
&,,,,४७२
बन,,,,२१००
६२,| सशस्त्र प्रहरी नेपाल नं.४१ रिजर्भ गण हेड क्वाटर चन्द्रौटा कपिलवस्तु अर्जुनखोला दाङ्ग,१०००],० |,९४८
६३,"| सामुदायिक सेवा केन्द्र, कोहलपुर",२०००],०],१९९६
६४,"| लुम्विनी प्रदेश प्रहरी नेपालगञ्ज, बाँके",१६२७५,| ० |,१६२७५
६५,"| सशस्त्र प्रहरी वल नेपाल आशधितगुल्म, रोल्पा",१०००,| ०],९९३
६६,"लुम्विनी प्रदेश प्रहरी इकाइ,",२६५००|।,o],१४३२७
६७ |,प्रहरी चोकि मरन्ठान,४६८९,| o,४६८९
६८,जिल्ला प्रहरी कार्यालय कपिलबस्तु,३४००,o],३४००
|,,१०२८६४ |,०],८२२०७
६९,,,,
७०,|] | पाणिनी बहुप्राविधिक शिक्षालय,२५७०६|।,० |,१९४६७
७१,| एग्रोफरेषटी बहुप्राविधिक शिक्षालय,२४५०५|,o,१९२७२
७२,| जीवराज आश्वित बहुप्राविधिक शिक्षालय,८२९०],० |,६३४६
७३,| ¥ बहुप्राविधिक शिक्षालय,१५५९२,| ०],९५३४
७४ |,रोल्पा बहुप्राविधिक शिक्षालय,२८९६५,| ०],२२०३६
७५,| सहिद कृष्णसेन बहुप्राविधिक शिक्षालय,५६९१९,| ०],४८६४५३
७६,| भेरी प्राविधिक शिक्षालय,१०३३०८,| ०],०८४२
७७,| राष्ि प्राविधिक शिक्षालय,१३९०४९,| o,१२११०३
