कस.,'मन्त्रालय/निकायको नाम,लेखा उत्तरदायी अधिकृतहरूको नामावली,अवधि,आ.व. २०८१।८२ कोबेरुजु,लेखापरीक्षण अङ्ग,लेखापरीक्षण अड्को तुलनामा बेरुजु प्रतिशत
१,प्रदेश सभा सचिवालय,सचिव श्री दुर्लल कुमार पुनमगर,२०८१।४।१ देखि २०८२।३।३२,०,२४५०२४५,०.००
,मुख्यमन्त्री मन्त्रिपरिषद्को कार्यालय,सचिन विधि,२०६८१।४।१ देखि २०८१।४।३१,,,
२,तथा ) हि,[सचिव श्री इश्वरराज पाँडेल,२००८१।६।१ देखि २०८२।३।३२,०,३३७२३६,०.००
,,सचिव श्री राम बहादुर के.सी.,२०८१।४।१देखि २०८१।६।२,,,
३,अर्थिक मामिला तथा योजना मन्वालय,सचिव श्री अमृत पौडेल,२०८१।६। ३ देखि २०८१।७।१९,०,१११७५४७३,०.००
,,सचिव श्री डिलाराम पन्थी,२०८१।७।२०देखि २०८२।३। ३२,,,
,"अआन्तरिक मामिला, सहकारी",सचिव श्री रेखा कडेल,२०६१।४।१ देखि ००१।११। २५,,,
४,कानून तथा मन्त्रालय कानून,सचिव श्री लोक बहादुर सुनवार,देखि २०८१।११।२५ देखि २०८२।३।३२,०० पी,६५१०४१४,१५६
,- मन्त्रालय,सचिव श्री मिनराज ढकाल,२०८१।४।१ देखि २०८१।७।१६,,,
५,"उर्जा,जलस्रोत तथा सिँचाई मन्त्रालय",सचिव री विष्णु भण्डारी,२००१।७।२३ देखि २०८२।३।३२,५३८९४,३०४३०२१,-७७ १.७:
,"उच्ोग,पर्यटन",सचिव श्री उमेश ढुंगाना,२०८१।४।१ देखि २०८१।११। २३,,,
,तथा यातायात मन्त्रालय मन्च,सचिव श्री नारद गौतम,२०८१।११। २८ देखि २०८२।३।३२,२७२,४४०५,०.६२:
७,"कृषि,भूमि व्यवस्था तथा सहकारी मन्वालय",सचिव श्री याम नारायण देवकोटा,२०२९११९३/२०८२।३।३२,३९४३०,१२९४५९३४,ड.०ड
,बिकास अभौतिक विकास,सचिव श्री माधव प्रसाद भट्टराई,२०८१।४।१ देखि २०८१।६।६,,,
५,मन्त्रालय पूर्वाधार मन्त्रालय,सचिव श्री भीमार्जुन पाण्डे,२०८१।६।७देखि २०८३१३१३३,डट,,
९,वन तथा वातावरण मन्त्रालय,सचिव श्री मोहनराज काफ्ले,२०८१।४।१ देखि २०८२।३।३२,४९६८१,२६३१७८४,१.८९
१०,शहरी विकास तथा खानेपानी मन्त्रालय,सचिव श्री बासुदेव पौडेल,२०८१।४।१ देखि २०८२।३।३२,१४११३९,५३४१०६४५,२.६४
,,सचिव श्री बिनोद कुमार खड्का,२०८१।४।१ देखि २०८१।७।८,,२२७७६३८,
,,सचिव श्री भुपेन्द्र थापा,२०८१।७।११ देखि २०८१।१०।२२,,,
११,सामाजिक विकास मन्त्रालय,सचिव श्री अण प्रसाद न्यौपाने,२०२९१९०१३३७/२०५९१९९१३३,९८३९,,०४३
,,सचिव श्री दिवाकर भण्डारी,२०५९१९९१३८३ २०८२।१।७,,,
,,सचिव श्री वसन्त प्रसाद कोइराला,२०८२।१।१७ देखि २०८२।३।३२,,,
,,सचिव श्री डा.वासुदेव उपाध्याय,२०६१।२।१६ देखि २०८१।११।२३,,,
२ १,स्वास्थ्य मन्त्रालय,सचिव श्री दुर्गा लक्ष्मी थेष्ठ,२०८१।११। २३ देखि २०८२। ३।३२,जन्त,५८६४५९२६,०.१
१३,युवा तथा खेलकुद मन्वालय,सचिव श्री हरीकला सारु मगर,२०८१।११।२६ देखि २०८२।३।३२,०,४५०३६,०.००
१४,प्रदेश योजना आयोग,सचिव श्री खिम बहादुर कुँवर,२०८१।४।१ देखि २०८२।३।३२,०,१२३४९,०.००
१५,प्रदेश लोक सेवा आयोग,सचिव श्री चिरञ्जीवी पोडेल,२०८१।४।१ देखि २०८२।३।३२,३३,११३९९४५,०.०३
,न्यायाधिवक्ताको कार्यालय,सचिव श्री हरिहर पौडेल,२०६१।४।१ देखि २०८१।६।३०,,,
१६,= गको मुख्य न्यायाधिक्ता,सचिव डा. सुर्य प्रसाद पौडेल,देखि २०८१।७।१ देखि २०८३।३।३२,०,। २२४,०.००
