कस.,खर्च शीर्षक,छुट बजट,अन्तिम बजेट,खर्च,खर्च प्रतिशत
,चालु खर्च,,,,
१,२११००पारित्रमिक/सुविधा,१४५६८७,१४५८६२,१३७४५९,९४.२४
२,२१२०० कर्मचारीको सामाजिक सुरक्षा,१११,१११,२९,%३९४
३,२३९०० सेवा महसुल,१८०६,७५५६,२९७९,७९.१३
४,२२२०० पुँजीगत सम्पतिको सञ्चालन,१५००३,१५००३,११०२५,७३.४९
५,२२३००कार्बालष सामान तथा सेवा,१११७२,१११७२,७५६१,६७.६८
६,२२४०० सेवा तथा परामर्श खर्च,९४११,९२३६,७३१३,७९.१८
७,२२५००कार्वक्रम सम्बन्धी खर्च,२१३६४५,१६९३०,१०१९४,५०.२१
३,"'२२६०० अनुगमन,मूल्याङ्कगन भ्रमण खर्च",७८७५,७८७५,२१५७,६२५.४९
९,२२७००विविध खर्च,७२९०,७२९०,४३५८,७२.१४
१०,२७२०० कामाजिक सहायता,४००,४००,३६६,९१.५०
११,२८१०० सम्पत्ति सम्बन्धी खर्च,८०,,२३७,२६.९३
