खर्च शीर्षक,सुरु बबेट,अन्तिम बेट,खर्च,खर्च प्रतिशत
२२३०० कार्यालय सामान तथा सेवा,१३६३३,१५७३३,१३८९२,८८.२९
'२२४०० सेवा तथा परामर्श खर्च,१९१२०,२०६५६,१५८४४५,७६.७०
२२५०० कार्यक्रम सम्बन्धी खर्च,२९२६७०,२०७२०२,७२०७३,३४.७८
२२६०० अनुषभभनसूल्याङ्गन र भ्रमण खर्च,१४७४६,१८०४६,१५४५९,८५.६६
२२७०० विविध खर्च,४१५०,५०५०,,
२६४०० सामाजिक सेवा अनुदान,१७००००,१७००००,४१११,र२४.१९
२७३०० कर्मचारी सामाजिक लाभ,०,यश,३,९५.५६
२८१०० सम्पत्ति सम्बन्धी खर्च,३५७०,३२७०,१९०८,५८.३५
जम्मा,६०६७०५,४१३८३८७,२३५२०८,४३.६९
एंजीगत खर्च,,,,
३११०० स्थिर सम्पत्ति प्राप्ति खर्च,३९२००,७२५५०,५७२६,१२.०३
कुल जम्मा,६४५९०५,६१०९३७,२४३९३४,३९.९३
