,,असार महिनाको,"₹क:भान्तर,",,,कुल,"स्कनान्तर,",
मन्त्रालय,,रजीगत,,चालु,,जीगत,,चालु
,,घट,बप,घट,बप,घट,,घट
भौतिक पूर्वाधार विकास,७४७६१,७४७६१,११३४,इेड४,२३३१३६१,२३३१८४६,२५०१४,२९६४५१
"खानेपानी, ग्रामिण तथा सहरी विकास",५२५२५,५२५२५,०,०,६७९५२२,६७९५२२,११०७०,२८०१२
स्वास्थ्य,०,०,११९१८८,१९१८,३०१७,१४०६००,६५५७५७,१८८१७४
सामाजिक विकास,४४५०,०,११६२,५६१२,१८७५८७,१८२८४२,२८३५९४,२१२३१४५
"उद्योग, पर्यटन तथा यातायात व्यवस्था",०,०,०,७५०,१८७१३२,११६७६०,१६८९७,१४९१७४
बन तथा वातावरण,४२६१,४२६१,३०००,३०००,३४५१७५६,३५१७५१६,२०८४,२०८४
"उर्जा, जलस्रोत तथा सिँचाइ",३९००,३९००,५०२,५०२,६९८३४७,६९७६९६५,०१०५,८७५६
जम्मा,१३९८९७,१३५४४७१२५२८६,,२९७३६,४५१८७२२,४४११०२२,१०९२५२१,१०६८१६६
