कस.,विवरण,२०८१।८२,२०८०।८१
१,राजस्व तथा अनुदान,२७५८८१४२,२४७२२७९०
१.१.,कर राजस्व,१३९८७०६८,११८२८१०४
१.२.,अन्य राजस्व,२३८३१२५,१८४८२०४
१.३.,अनुदान,११००७७६५,१०६९२४५५४
१.४.,विविध प्राप्ति,२१०१८४,३५३९२८
,भुक्तानी,२७८९१०१३,२६४३६६९३
२.१.,चालु खर्च,९९८५८६१,१०४१८९२१
२.२.,पुँजीगत खर्च,१७९०५१५२,१६०१७७७२
३,बचत (कमि),(३०२८७१),(१७१३९०३)
४,धरौटी र अन्य कोषको मौज्दात थप (घट),२७४८४०,१९१५९२
५,नगद तथा बैङ्ग मौज्दात थप (घट),(२८०३१),(१५२२३११)
६,गत आर्थिक वर्षको मौज्दात,३९६५६३१,५४४५८३८४
७,यस आर्थिक वर्षको अन्तको मंज्दात,३९३७६००,३९३६०७३
