क्रस.,खर शीर्षक,र्ुरुबजेट,अन्तिम बबेट,खरी,खर प्रतिशत
,चालु खर्च,,,,
१,२११०० पारित्रमिक/सुविधा,२७१७३,१३४९७,१२०७५,ब८९.४६
२,२१२०० कर्मचारीको सामाजिक सुरक्षा,१४९,१४९,४१,२७.५२
३,२२१०० सेवा महशुल,१६७४,१५७४,८१६,५१.८४
४,२२२०० पुँजीगत ख्षम्पतिको सञ्चालन,६८३५,५९३४,४०८९,६८.९०
,२२३०० कार्यालध सामान तथा सेवाहरू,४३६०,३९१०,२०१०,२५१.४१
६,२२४०० सेवा तथा परामर्श खर्च,७८२०,७३२०,५६७०,७७.४६
७,२२५०० कार्यक्रम सम्बन्धी खर्चहरू,१२९६००,११३१७०,२१५९६,१९.०८
व्‌,२२६०० अनुगमन भूल्याङ्गग र भ्रमण खर्च,२६००,२६००,१७७४,६८.२३
९,२२७०० विविध खर्च,९१००,९१००,११८७,१३.०४
१०,२६४०० सामाजिक सेवा अनुदान,६६८००,६४६६४,३८१५६६,५९.६४
११,२७२०० सामाजिक सहायता,२२०००,११०५००,बव८८४१००,
१२,२८१०० सम्पत्ति सम्बन्धी खर्च,२४००,१०००,३०३,३०
,जम्मा,२८०५११,२३२४१९,१७६६२७,%३]०
,पूँजीगत खर्च,,,,
,३११०० स्थिर सम्पत्ति प्राप्ति खर्च,१७४४००,१९५९६६,९८६१८,५०.३२
,जम्मा,४५७९११,२५२९३८५,२७५२४५,२५१.९९
