खर्च शीर्षक,सुरु बबेट,अन्तिम बजेट,खरी,खर्च प्रतिशत
चालु खर्च,,,,
२११०० पारिश्रमिक र सुविधा,१३४१४१,१३४१६७,६९६४९,२५१.९१
२१२०० कर्मचारीको सामाजिक सुरक्षा,१०२५,१०२५,३७३,३६.३९
२२१०० सेवा महसुल,६७०९,६७०९,४०७९,
२३३०० एंजीगत कषम्पततिको सञ्चालन,१९६१०,२००१०,१५९६४,७९.७८
२२३०० कार्वालय सामान र सेवाहरू,१५५३९,१५५३९,१२९१९,८३.१३
२२४०० सेवा तथा परामर्श खर्च,३९३७६,३७४१३,३२९१०,८७.९६
२२५०० कार्यक्रम सम्बन्धी खर्चहरू,३२४९७६,२३३२३७,१३७५९३,२८.९९
२२६०० र भ्रमण खर्च,१४१३२,१४५३२,८६५२,२९.४३
२२७०० विविध खर्च,३६६०,३६६०,३४३४,९३.९८
२६४०० सानाजिक सेवा अनुदान,६३०००,६३०००,४४९०४,७१.२७
२८१०० सम्पत्ति सम्बन्धी खर्च,२६२५,३२२५,२३८९,७४.०७
जम्मा,६२४७९३,५३२५१७,३३३८६७,६२.६९
एंजीगत खर्च,,,,
३११०० स्थिर सम्पत्ति प्राप्ति खर्च,८१९९१०,व९०२८२,१४६०८२,६१.३३
जम्मा,१४४४७०३,१४२२७९९,८०७९९४९,६१.८४
