,,,,(६१,,
आर्थिक वर्ष,क्षेत्र,अनुवानआहो सङ्ख्या,कार्यालयले व्यहोर्ने रकम,ब्यक्ति/संस्थयाले जि,कुल जम्मा री,भुक्तानी 'रकम
२०७९।८०,कृषि,११९६,३०६४५०८,१९१६४५५,४९८१६४,२४४८५३
,पशुषन्छी,९७४,२९१६४४५,१७५४५३१,४६७१७७,२५५५२३
जम्मा,,२१७०,२९८१४५३,३६७१८६,९६५३४१,₹००३७६
२०८०।८१,कृषि,२६४१,२४८४५०७,१०९८३६,६८७३३४५,२१६९०३
,पशुपन्छी,६१०,२१९४०९,६२९३६,२७२९४६,१९३१२८
जम्मा,,३२५१,४६७९१६,१७२७७२,९६०२८१,४१००३१
२०८१।०८२,कृषि,१०००६,७९९७०,४७३५९,१२५७०८,७४२०१
,पशुपन्छी,४१७४२,,,,१९२३२४५
जम्मा,,५१७४८,७९९७०,४७३५९,१२५७०८,२६६५२६
कुल जम्मा,,५७१६९,११४६०३९,५८७३१७,२०५१३३०,११७६९३३
