खर्च शीर्षक,सुरु बबेट,अन्तिम बजेट,खर्च,खर्च प्रतिशत
चालु खर्च,,,,
२११०० पारिश्रमिक/ सुविधा,७४९६६८,७४९०१८,५७२३४४,७६.४१
२१२०० कर्यचारीको सामाजिक सुरक्षा,५२३९,५२३९,३३८,६४.६७
२२१०० सेवा महसुल,१०४५७,१०४५७,७७५०,७४.११
२२२०० पुँजीगत सम्पत्तिको सञ्चालन,२६१३४,२६२३४,२१७४०,८२.८७
२२३०० कार्यालय सामान तथा सेवाह,१४२८४५,१४२८४५,१२०१६,८.४
२२४०० सेवा तथा परामर्श खर्च,२५१९०,२५७४०,३८१६६,६८.४७
२२५०० कार्यक्रम सम्बन्धी खर्च,२५३७८०,२५२२८०,१६६६१६,६६.०४
२२६०० अनुगसनसूल्याङ्कन र भ्रमण खर्च,१४९८९,१४९८९,१३२८९,८्य.६६
२२७०० विविध खर्च,२८३०,२८३०,२५१८,द्व.९८
२७१०० सामाजिक सुरक्षा,११६५४५,१३१५५,१२५५८,९५.४६
२८१०० सम्पत्ति सम्बन्धी खर्च,६२०२,६२०२,२०७९,८१.८९
जम्मा,११५०४२९,११५०४२९,८५५४५०४,७४.३६
एंजीगत खर्च,,,,
३११०० स्थिर सम्पत्ति प्राप्ति खर्च,११०३२३५,११०३२३५,६२३५०४,२६.५२
जम्मा,२२५३६६४,२२५३६६४,१४७९००८,६५.६३
