खर्च शीर्षक,सुरु बजेट,अन्तिम बजेट,खर्च,खर्च अतिरात
चालु खर्च,,,,
२११०० पारिश्रमिक /सुविधा,१११९७८,१०२५९८,८३०७४,८०.९७
२१२०० कर्मचारीको सामाजिक सुरक्षा,९६६,९६६,श्श्ट,४७.४१
२२१०० सेवा महसुल,५६५४,५२०४,३९६२,७६.१३
२२२०० पुँजीगत सम्पत्तिको सञ्चालन र,१३६०३,१३७२३,११९२७,८६.९१
२२३०० कार्यालय सामान तथा सेवा,९२३०,९०३०,७८४२,८६.८४
२२४०० सेवा तथा परामर्श खर्च,४८३७५,४१३४३,३३२८३,८०.५०
२२५०० कार्यक्रम सम्बन्धी खर्च,५५६००,२५६४५८,२४०७१,४३.२५
२२६०० अनुनभनमूल्याङ्गन र भ्रमण खर्च,६९२९,६८७१,२३४५,७७.७९
२२७०० विविध खर्च,२७२५,२७२५,२०७७,७६.२२
२८१०० सम्पत्ति सम्बन्धी खर्च,४२४०,४२४०,३१३७,७३.९९
जम्मा,२५९३००,२४२३५८,१७५१७६,७२.२८
