खर्च शीर्षक,'बजेट,खर्च,प्रतिशत
चालु खर्च,,,
२११०० पारिश्रमिक / सुविधा,१७८९६,२८४३,१५.८९
२१२०० कर्चारीको सामाजिक सुरक्षा,११४,१४,१२.२८
२२१०० सेवा महसुल,९६५,७४,७.६७
२२२०० पुँजीगत सन्पततिको सञ्चालन,३३२४,६५४,१९.६८
२२३०० कार्यालय सामान तथा सेवाहरू,१८४४,,४५.६४
२२४०० सेवा तथा परामर्श खर्च,१२१७,८१७,५७.१३
२२४५०० कार्यकम सम्बन्धी खर्चहरू,३२००,९०,२.८१
"२२६०० अनुगमन,भूलयाङ्क र भ्रमण खर्च",१५४०,४७७,३०.९७
२२७०० विविध खर्च,३००,२४९,८३.००
२६४०० सामाजिक सेवा अनुदान,,३३४२८,६१.०६
२८१०० सम्पत्ति सम्बन्धी खर्च,५००,१६३,३२.६०
जम्मा,८२५६५१,३९६५१,४६.२९
एंजीगत खर्च,,,
२९९०० स्थिर सम्पत्ति प्राप्ति खर्च (पुँजीगत),३४००,स्व्व्श,द्४.दश
कुल जम्मा,८९०५१,४२५३६,४७.७७
