खर्च शीर्षक,सुरु बबेट,अन्तिम बजेट,खर्च,खर्च प्रतेशत
चालु खर्च,,,,
२११०० पारिश्रमिक र सुविधा,५४१४,५४३३,४४८६,८२.५६
२१२०० कर्मचारीको सामाजिक सुरक्षा,३०,३०,१९,६३.३३
२२१०० सेवा महसुल,३५६,३५६,१६७,४६.९१
२२२०० पुँजीगत सम्पत्तिको सञ्चालन,१२३४,१४८४,१३०७,द.००
२२३०० कार्यालष सामान र सेवा,११२०,११२०,'८,७५.८०
२२४०० सेवा तथा परामर्श खर्च,२४५७,२५५३,२२७४,८९.०७
२२५०० कार्यक्रम सम्बन्धी खर्च,१०२०,१८२०,१५९४,८७.५८
"२२६०० अनुगमन, २०४ाङ१ र भ्रमण खर्च",१०५९,१३५९,१०५२,७७.४०
२२७०० विविध खर्च,२५०,२५०,१८२,७२.८०
२७३०० सेवा निवृतको संचित बिदा,०,४,४३,९५.५५
२८१०० सम्पत्ति सम्बन्धी खर्च,३६०,३६०,,०
जम्मा,१३३००,१४८१०,११९७३,
खर्च,,,,
३९९०० स्थिर सम्पत्ति प्राप्ति खर्च,३००,३००,२६८,८९.३३
कुल जम्मा,१३६००,१५११०,१२२४१,©.०९
