क्रस.,निकावको नाम,कार्षासष संख्या,बेरुजु भएका परर्ाणणको संख्या,बेरुजु रकम
१,प्रदेश सभा सचिवालय,१,१,०
२,नुल्यमन्त्री तथा मन्त्रिपरिषद्को कार्यालय,१,१,०
३,आर्थिक मामिला तथा योजना भन्त्रालय,१४,९,
४,अन्तरिक मामिला तथा कानुन,१,१,९५००
५,"उर्जा,जलस्रोत तथा सिँचाइ मन्त्रालय",१९,१९,३८९४
६,"उद्चोग,पर्यटन तथा यातायात भन्त्रालय",२५,२५,२७२७८
७,"कृषि,भूमि व्यवस्था तथा सहकारी मन्त्रालय",३५,३५,३९४३०
८,भौतिक पूर्वाधार विकास भन्त्रालय,१५,१५,१७३७५९
९,सहरी विकास तथा खानेपानी मन्त्रालय,१९,१९,४९६८१
१०,बन तथा वातावरण सन्त्रालय,२०,२०,१४११३९
११,सामाजिक विकास मन्त्रालय,१०,१०,९८३९
१२,स्वास्थ्य मन्त्रालय,स्व,स्व,९८६१
१३,युवा तथा खेलकुद भन्त्रालय,१,१,०
१४,प्रदेश योजना आयोग,१,१,०
१५,प्रदेश लोक सेवा आयोग,१,१,३३
१६,मुख्य न्यायाधिवक्ताको,१,१,
१७,जम्मा,१९२,१८७,
