क्रस.,मन्त्रालयर निकायको नाम,कार्यालय संख्या
[१,प्रदेश सभा सचिवालय,। १ |
२,मुख्यमन्त्री तथा मन्त्रिपरिषद्को कार्यालय,[_ १
3,आर्थिक मामिला तथा योजना मन्त्रालय,१४
३.१,आर्थिक मामिला मन्त्रालय,१
३.२,प्रदेश लेखा नियन्त्रक कार्यालय,१
३.३,प्रदेश लेखा इकाइ कार्यालयहरू,१२
¥,आन्तरिक मामिला तथा कानुन मन्त्रालय,| १
%,"उर्जा, जलस्रोत तथा सिँचाइ मन्त्रालय",१९
२.१,"उर्जा, जलस्रोत तथा सिँचाइ मन्त्रालय",
५.२,जलस्रोत तथा सिंचाई विकास डिभिजन कार्यालयहरू,१२
५.३,भुमिगत जलस्रोत तथा सिंचाई विकास डिभिजन कार्यालयहरू,3
२.,प्रगन्ना बड्कापथ सिंचाई व्यवस्थापन कार्यालय,१
थप,"वाणगंगा सिंचाई व्यवस्थापन कार्यालय,कपिलवस्तु",१
२.६,प्रदेश उर्जा कार्यालय,१
&,"उद्योग, पर्यटन तथा यातायात मन्त्रालय",२५
६.१,"उद्योग, पर्यटन तथा यातायात मन्त्रालय",१
६.२,"उद्योग, वाणिज्य तथा उपभोक्ता हित संरक्षण निर्देशनालय",१
६.३,घरेलु तथा साना उद्योग कार्यालय,१२
६.४,यातायात व्यवस्था कार्यालय,२
६.५,यातायात व्यवस्था सेवा कार्यालय,%
६.६,पर्यटन डिभिजन कार्यालय,२
६.७,"पर्यटन विकास परिषद्‌, रुपन्देही",१
६.८,पाल्पा दरबार सङ्ग्रहालय,१
७,कृषि तथा भूमि व्यवस्था मन्त्रालय,३५
७.१,"कृषि तथा भूमि व्यवस्था मन्त्रालय, लुम्बिनी प्रदेश",१
७.२,"कृषि विकास निर्देशनालय, रुपन्देही",१
७.३,कृषि व्यवसाय प्रवर्धन सहयोग तथा तालिम केन्द्र,१
७.४,"पशुपन्छी तथा मत्स्य विकास निर्देशनालय, रुपन्देही",१
७.५,एकीकृत कृषि तथा पशुपन्छी विकास कार्यालयहरू,2
७.६,कृषि ज्ञान केन्द्रहरू,९
७.७,भेटेरीनरी अस्पताल तथा पशु सेवा विज्ञ केन्द्र,९
७.८,"कुखुरा विकास फार्म, बाँके",१
७.९,"पशु रोग अन्वेषण प्रयोगशाला, नवलपरासी ब.सु.प.",१
७.१० ।,पशु सेवातालिम केन्द्र,4
©.99 ।,"बाली संरक्षण प्रयोगशाला, खजुरा",१
७.१२,बीउ विजन प्रयोगशालाहरू,K
७.१३ ।,"मत्स्य विकास केन्द्र, महादेवपुरी",१
७.१४ ।,माटो तथामल परीक्षण प्रयोगशाला,१
७.१५ ।,"प्रदेश सहकारी दर्ता अधिकारीको कार्यालय, राप्ती उपत्यका",१
७.१६ ।,सहकारी प्रशिक्षालय,१
