कस.,९ निकाणको नाम,कार्यालय संख्या
३,आतिक विकास मन्त्रालय,१५
८.१,"भौतिक पूर्वाधार विकास मन्त्रालय, लुम्बिनी प्रदेश",१
२,यातायात पूर्वाधार निर्देशनालय,१
८.३,सडक पूर्वाधार विकास कर्ालबहरू,१२
८.४,"ग्रामीण सडक सञ्जाल सुधार आयोजना क१४""१५१ इकाई, बुटवल",१
९,वन तथा वातावरण मन्त्रालय,२०
९.१,तथा वातावरण मन्त्रालय,१
९.२,प्रदेश वन निर्देशनालय,१
९.३,डिभिजन वन कार्कालबहरू,१४
९.४,भूतथा जलाधार व्यवस्थापन कार्यालय,३
६.५,बन अनुसन्धान तथा प्रशिक्षण केन्द,१
१०,सहरी विकास तथा खानेपानी मन्त्रालय,१९
१०.१,सहरी विकास तथा खानेपानी मन्त्रालय,१
१०.२,खानेपानी तथा सरसफाइ डिभिजन कार्यालय,१२
१०.३,शहरी विकासतथा भवन कार्यालयहरू,३
१०.४,प्रदेश राजधानी निर्माण आयोजना कार्थान्वकन इकाई,
११,सामाजिक विकास मन्त्रालय,१०
११.१,तसामाजिक विकास मन्त्रालय,१
११.२,"महिला बालबालिका तथा ज्येष्ठ नागरिक मन्त्रालय, लुम्बिनी प्रदेश",१
११.३,शिक्षा तथा सामाजिक विकास निर्देशनालय,१
११.४,शिक्षा तालिम केन्द्र,१
११.४५,सामाजिक विकास डिभिजन कार्यालय,५
१२,स्वास्थ्य मन्त्रालय,स्व
१२.१,स्वास्थ्य मन्त्रालय,१
१२.२,"स्वास्थ्य निर्देशनालव, राप्ती उपत्यका",१
१२.३,"स्वास्थ्य तालिम केन्द्र, बुटवल",१
१२.४,"प्रदेश स्वास्थ्य आपूर्ति व्यवस्थापन केन्द्र, बुटवल",१
१२.५,"प्रदेश जनस्वास्थ्य त्रयोगशाला, भैरहवा",१
१२.६,स्वास्थ्य कार्यालयहरू,१२
१२.७,अआयपुर्वेद स्वास्थ्य केन्द्र,१०
१२.८,"लुम्बिनी आयुर्वेद , बुटवल",१
१३.,युवा तथा खेलकुद मन्त्रालय,१
१४,प्रदेश योजना आयोग,१
१४,प्रदेश लोक सेवा आयोग,१
१५,मुख्य न्याबाधिबक्ताको कार्यालय,१
,जम्मा,१९२
