राजस्व सङ्केत,राजस्व शीर्षक,अनुमान,यथार्थ असुली
११११४,'कृषि आयमा लाग्ने कर,०,०
१११३६,आयमा लाग्ने कर,५२६१,५
११३१५,बाँडफाँटबाट प्राप्त हुने घरजग्गा रजिष्टेशन दस्तुर,२२९७५००,१३९०६७३
११४११,'बाँडफाड भई प्राप्त हुने मूल्य अभिवृद्धि कर,६०११२५०,७८९७९५९
११४२१,बाँडफाँटभई प्रापत हुने अन्त शुल्क,३००३७५०,२८२६१९२
११४५६,'बाँडफाँटभई प्राप्त हुने सवारी साधन कर,२८०००००,१८५६१३०
११४७१,बांडफाटबाट प्राप्त हुने मनोरञ्जन कर,११२९३,६७०५
११४७२,बाँडफाटनाट प्राप्त हुने विज्ञाननकर,१८११३,९४०२
१३३११,अनुदान,८२८६४००,७६०३६०१
१३३१२,'सशर्त अनुदान,४१९३३००,२७३४९७५
१३३१३,विशेष अनुदान,७४४६००,३३७९३०
३३३१४,'समपुरक अनुदान,७९५०००,३३१२५८
१४१५१,सरकारी सम्पत्तिको बहालबाट प्राप्त आय,७८३२,१६१९
१४१५३,बाँडफाँट भई प्राप्त वन रोयल्टी,९१२५२,३०८३१
१४१५४,बाँडफाँट भई प्राप्त खानी तथा खनिज सम्बन्धी रोयल्टी,१८०७२६,१०२४८२
१४१५ ६,बाँडफाँट भई प्राप्त विद्युत सम्बन्धी रोयल्टी,२२९६९१,६४३९३
१४१५७,बाँडफाँट भई प्राप्त दहत्तर बहत्तरको विकीबाट प्राप्त हुने आय,१९१०००,४६५२४०
१४१४५८,बाँडफाँट भई प्राप्त पर्वतारोहण वापतको रोयल्टि,शर,१०८
१४१५९,अन्य स्रोतबाट प्राप्त बाँडफाँट नहुने रोयल्टी,०,४९१७
१४२११,उत्पादनको बिक्रीबाट प्राप्त रकम,४६९९४,१७०२१
१४२१२,खर्कारीलन्पतीको बिक्रीबाट प्राप्त रकम,२६११,३५७
१४२१३,अन्वविकीबाट प्राप्त रकम,२६,१
१४२१७,'नहर तथा कुलो उपयोग वापतको शुल्क,१०२,१६
१४२१९,अन्यसेवा शुल्क तथा विक्री,९१४,१५२
१४२२३,शिक्षाक्षेत्रको आम्दानी,३,११८
१४२२४,परीक्षाशुल्क,३२४१५२,३३३४६
१४२२५,'यातायातक्षेत्रको आम्दानी,३९१६२०,२३५२६२
१४२२९,अन्य प्रशासनिक सेवा शुल्क,१५२७३२,७३१०४५
१४२५३,व्यावसाय रजिष्ट्रेशन दस्तुर,२४८०२६,५०१७८
१४२५४,'रेडियो/ एफ.एम.सञ्चालन दस्तुर,०,२०
१४२५५,टेलीभिजन सञ्चालन दस्तुर,८५६,१६०
१४२५६,"चालक अनुमति पत्र, सवारी दर्ता किताव सम्बन्धी दस्तुर",१९५२०००,८०४८३३
१४२६४,वन क्षेत्रको अन्य आय,१३३२२५२,४१३३८७
१४३११,न्यायिक दण्ड जरीवाना,९८०,१९६
१४३१२,"प्रशासनिक दण्ड,जरिवाना र जफत",६२५२८,३०७२२
१४३१३,धरौटी सदरस्याहा,५९७२,५५६०
१४५११,बीमा वापत,०,०
१४५२९,अन्य राजस्व,,१९१०३
१५१११,बेरुजु,१७३६१८,८९३००
१५११२,निकासा फिर्ता,०,९७२६३
१५११३,अनुदान फिर्ता,०,२३४२२
१५११६,'समपूरक अनुदान फिर्ता प्राप्ति,०,२००
,जम्मा,३६९७००००,२७५८०१४२
,'सङ्घीय अनुदान बाहेकको जम्मा प्राप्ति,२२९५०७००,१६५८०३७८
