क्रस.,जिल्ला,ल्यानी४ तहको नाम,लेखापरीक्षण ता वर्ष
१,धनुषा,कमला नभरपालिका,२०७८।७९
२,धनुषा,घनौजी ॥॥उंपालिका,२०७८।७९
३,धनुषा,औरही।उपालिका,२०७७।७८
४,धनुषा,जनकपुरचाम उप-महानगरपालिका,२०७५।७६
५,पर्सा,घोविनी थाउपालिका,२०७७।७८
६,पर्सा,पकाहामैनपुर गाउँपालिका,२०७६।७७
७,महेत्तरी,साम्सी गाउँपालिका,"२०७७।७८, २०७४।७५ र २०७३।७४"
८,महोत्तरी,रामगोषलपुर गाउँपालिका,२०७७।७८
९,महोत्तरी,गौशाला नगरपालिका,२०७३।७४
१०,भमहोत्तरी,! नगरपालिका,२०७३।७४
११,महोत्तरी,पिपरा भाउँपालिका,२०७३।७४
१२,रौतहट,कटहरिबा नगरपालिका,२०७६।७७
