क्रस.,स्थानीय नाम,जिल्ला,आय,व्यय,
१,हरिवन नभरपालिका,सर्लाही,१०३७१५७,९८५४५६,२१७०१
२,नन्द्रनगर माउँपालिका,सर्लाही,६७२२७९,५५७९१५,११४३६४
३,बरहथवा नगरपालिका,सर्लाही,११२५८२०,१०७२६२७,%३९४३
४,नागभती नगरपालिका,सर्लाही,८७४१९८,७८२१४९,९२०४९
५,भनवानपुर गाउँपालिका,सिरहा,५२९६४८,४५३७७१,७५८७७
६,कल्याणपुर नगरपालिका,सिरहा,९९५२२३,८४९८१६,१४५४०७
७,नोलनजार नगरपालिका,सिरहा,८४४५,७८४३८४,७०४६१
८,मिर्चौया नगरपालिका,सिरहा,९७६३४१,८०१०६२,१७५२७९
९,लहान नगरपालिका,सिरहा,१६४०७०२,१४५५०५४,१८४५६४८
१०,सुखिपुर नगरपालिका,सिरहा,९९१४५९,दद०४१४,१११०४५
११,बिदेह नगरपालिका,धनुषा,६३९५२५,श८९६०९,४९९१६
१२,मुखियापड्टी मुसहरनेया,घनुषा,५७०८७२,४१०१,३२०२४
१३,विश्चामपुर भाउपालिका,बारा,३५८८७५,३३०६७३,२८२०२
१४,आदर्श कोटबाल गाउँपालिका,बारा,५५३५०६,५२४६८३,२८२३
१५,जिराभवानी ५।उँपा।लिका,पर्सा,३९१३५५,३८३२६३,८०९२
१६,वीरगन्ज महानगरपालिका,पर्सा,३५४०९३४,३२६२५३८,२७८३९५
१७,जम्मा,,१५७५२७३९,१४२५२२६२,१४१००४७६
