,,,,बर्षको सुरु मौज्दात,,आय,,,,,व्यय,,,यो बर्षको,बर्षान्तको
।।,,,,,बिकी / सेवा शुल्क,अनुदान,अन्य आय,जम्मा,प्रत,सँचालन खर्च,कर्मचारी खर्च,अन्य खर्च,जम्माखर्च,बचत,मौज्दात
,मुख्यमन्त्री तथा मन्त्रिपरिषद्को कार्यालय,,,,,,,,,,,,,,
१,"प्रदेश अनुसन्धान तथा प्रशिक्षण केन्द्र, जनकपुरघाम",१२९७४२,१४३,१३३१,०,६२७७१,२९१६,५६६८,०,४७६१,८०१०,बुस,६४०५५,१६३३,र२९६४
,"'गृह, सञ्चार तथा कानुन मन्त्रालय",,,,,,,,,,,,,,
२,"मिडिया काउन्सील, जनकपुर, धनुषा",२१७८६,०,३९८,०,१५१०००,०,१४०००,०,६७८६,०,०,इ७ड६,दरप४,८६१२
३,"आम सञ्चार प्राधिकरण,जनकपुर",३५३२६,,११०४,०,१७२६९,०,७२६९,१४७२,४५७२,१२२४,७५९,१५०५,न७५९,३१६८
४,"चलचित्र तथा लोक सञ्चार प्रवर्डन बोर्ड, जनकपुर, धनुषा",११४२१,,२०२१६,०,०,,०,५९४,९१४,१९१३,०,१४२१,-११४२१,८७९५
,"'शिक्षा तथा संस्कृति मन्त्रालय, मधेश प्रदेश",,,,,,,,,,,,,,
५,मधेश विश्वविद्यालय,७०६४८,यश,२३२८,०,५०००,१३९०८,१९९०८,८६४९,४१०९०,०,१००२,४१०७४१,-३०८३३,२०२०५१
६,मधेश प्रज्ञा प्रतिष्ठान,२६३५४,०,३,०,१३०००,०,१३०००,३१६४,९४७९,१८०,%३९,१३३४५४,-३,०
७,मधेश कृषि विश्वविद्यालय,१८३००८,२०६६४,३४१९६१,०,०,१६७५७,१६७८७,२७८११,१३८४३९,०,०,,१६६२५०-१४९४९३,१९२४६८
,"स्वास्थ्य तथा जनसंख्या मन्त्रालय, मधेश प्रदेश",,,,,,,,,,,,,,
८,मधेश स्वास्थ्य विज्ञान प्रतिष्ठान,१२८१२२९,१४८६,१३०५८,२९०२४१,२६३०५२,९४३५१,६५६४४५,०,४४९४५९,०,७३२५,६२४७८४,३१६६०,४४७१९
९,"प्रादेशिक अस्पताल, धनुषा",३९८१८३,१४३४,,२१२५,२०४५६७,६३३},र२१४०३०,इ०८४४,१६७६,७१५२७,१०६,१८४७१५२,२९८७८,२९०७८
१०,"रामकुमार शारादा उमा प्रसाद मुरारका प्रादेशिक अस्पताल,लहान",३९६५६७,८२०६,४९०,४७१०३,१२८२६८,२३०१३,१९८३८४,इइ४२५,दइ५ड,८०९०९,२०६९१,१९०७१८३,२०१,६९१
११,"प्रादिशिक अस्पताल, जलेश्वर",२३११७८०,२१३,९०२,२००३३,११३०९८,०,१३३१३१,७७५३८,र२०५०९,०,०,९८०४७,इ५०८४,
१२,"प्रादेशिक अस्पताल, गौर",५३६४९,२२७०६,१२,०,४१८०५,०,४१८०५,०,३०३८३,११४६१,०,शर,३४,९६१५
१३,"प्रादेशिक अस्पताल, कलैया",२९२४११,२७८३८,२५६४,,२६३४,४५,१४६७८७,१२२३६,७९०६,इ३४७२८,७८४,१४४५६२४,११६३,३७२७
१४,"प्रादेशिक अस्पताल, सिराहा",४२५४,२०५०,११५८,२५९४४,१७३७७६,०,२२९७२०,१२०२१०,४९०८८,०,४३,२२२८६४,६८५६,ब००१४
१५,"प्रादिशिक अस्पताल, मलंगवा",३३४९७६,८८५२,६३१७,३५७९३,१३१८३४,०,१६७६२७,०,१६७३४९,०,०,१६७३४९,२७७,६५९४
,"भूमि व्यवस्था, कृषि तथा सहकारी मन्त्रालय",,,,,,,,,,,,,,
१६,"प्रदेश दुग्ध विकास बोर्ड, मधेश प्रदेश",३७४०९,०,०,०,र२१२०४,०,र२१२०४,६३४१,१९६८,इ०७,७२्८ड,१६२०४,१०००,४०००
,जम्मा,३९८६४७२,९४८४०,६२३६९३,२१३३४६,१२८५०७९,१५८३३०,१९५६७५५,३७०२८३,१२८७४५३९,२१०५६०,१६१३३५,२०२९७१७,-७२९६२,५५१०७३१
