क्रस.,राजस्व शीर्षक,रकम
१९,१४२५३- व्यावसाय रजिष्ट्रेसन दस्तुर,५१०५७
२०,"१४२५६- चालक अनुमति पत्र, सवारी दर्ता किताव ( ) सम्बन्धी दस्तुर",७८८५३६
२१,१४२६३- जलस्रोत सम्बन्धी अन्य दस्तुर,१
२२,१४२६४- वन क्षेत्रको अन्य आय,४५५३
२३,"१४३११- न्यायिक दण्ड, जरिबाना र जफत",७९
२४,"१४३१२- प्रशासनिक दण्ड, जरिबाना र जफत",७५६२
२५,१४३१३- घरौटी सदरस्याहा,६१
२६,१४५२९- अन्य राजस्व,१४०८९
२७,१५१११- बेरुजु,७७००९
स्व,१५११२- निकासा फिर्ता,८३६
२९,१५११३- अनुदान फिर्ता,२२४४
३०,३२१५९- अन्य संस्थामा शेयर लगानी बिक्री (-),०
३१,३३३४१- सवारी साधन कर,१५४०८३६
३२,३३३६९- अन्य प्राकृतिक स्रोतको आय तथा रोयल्टी,
,कुल जम्मा,१५२७८९५२
