,,,,,,प्रतिकियाबाट,फस्याँट,,,बाँकी,,,,,,,,
कसै,निकायको,,,"हाट,",,,,प्रतिकियाबाट,,,बेरुजु,,,लिक,,,,
,मन्त्रालय / नाम,फा,संख्या,,शफा,संख्या लगत्ति,फान,केस,दफा,संख्या लि,फन,असुल गर्नुपर्ने,अनियमित भएको,प्रमाणका कागजात पेशनमएको,जिम्मेवारी नसाको,सर्न सोना नलिएको,जम्मा,
,"सुख्यमन्त्री तथा मन्त्रिपरिषद्को कार्यालय, मधेश प्रदेश",,,,,,,,,,,,,,,,,
१,"प्रदेश अनुसन्धान तथा प्रशिक्षण केन्द्र, जनकपुरधाम",१७,२३,१४३,०,०,०,०,१७,२३,४४३,इ९४,,१४०,,,१४५०,
,"'गृह, सञ्चार तथा कानुन मन्त्रालय, मधेश प्रदेश",,,,,,,,,०,,,,,,,,
२,"मिडिया काउन्सील, जनकपुरधाम",५,०,,०,०,०,०,ड,०,,,,,,,,
३,आम सञ्चार प्राधिकरण;जनकपुरघाम,६,०,,०,०,०,०,६,०,,,,,,,,
४,"चलचित्र तथा लोक बोर्ड, जनकपुरधाम",९,०,,०,०,०,०,९,०,,,,,,,,
,"'शिक्षा तथा संस्कृति मन्चालय, मधेश प्रदेश",,,,,,,,,०,,,,,,,,
५,"मधेश विश्वविद्यालय, पर्सा",२७,१५,४५,०,०,०,०,र२र७,१५,४,४४,,,,,,
६,"मधेश प्रननाप्रतिष्ठान, जनकपुरधाम",४,०,,१,०,०,०,३,०,,,,,,,,
७,"मधेश कृषि विश्वविद्यालय, राजविराज",४,४,र२०६६७,०,०,०,०,बड,४,२०६६७,३,,२०६२९,,,२०६२९,
,"स्वास्थ्य तथा जनसंख्या मन्त्रालय, मधेश प्रदेश",,,,,,,,०,०,,,,,,,,
,"मधेश स्वास्थ्य विज्ञान प्रतिष्ठान, जनकपुरधाम",२,७,७७०४,०,१,६२१९,०,२१३,६,१४८६,,१००५,४००,,,१४८६,
१०,"प्रादेशिक अस्पताल, सिराहा",२०,१२,२८०,०,०,०,०,र२०,१२,२८६०,२२१६,४००,२३५,,,६३५,
११,"प्रादेशिक अस्पताल, जलेखर",१६,इ,र१३,०,०,०,०,१६,इ,र१३,,,२१३,,,२१३,
१२,"प्रादेशिक अस्पताल, मलंगवा",२४,७,,०,०,०,०,रस्४,७,,२२३२,४०००,२२७०,,,६२७०,३५०
९,"प्रादेशिक अस्पताल, जनकपुरधाम",१ड,२३,१४३४,०,०,०,०,१५,२३,१४३४,१३९,,१२९४,,,१२९५,
१३,"प्रादेशिक अस्पताल, गौर",ड,२१,२२७०,०,०,०,०,५,२१,२२७०६,इ०२४,२२४,११३६,,१३३२३,१९६८२,
१४,"रामकुमार शारादा उमा प्रसाद मुरारका प्रादेशिक अस्पताल,लहान",२१,३,८२०६,०,०,०,०,२१२,३,८२०६,२,२२२,,,७९८२,ङ२०४,
१५,"प्रादेशिक अस्पताल, कलैया",१८,२९२,र७८३८,०,०,०,०,१८,२२,२७५३८,२८०,र२७५३८,१९,,,२७४४७,
,"भूमि व्यवस्था, कृषि तथा सहकारी मन्त्रालय, मधेश प्रदेश",,,,,,,,५,,,,,,,,,
१६,"प्रदेश दुग्ध विकास बोर्ड, जनकपुर",११,०,,०,०,०,०,,,,,,,,,,
,जम्मा,२४६,१४३,१०१०५९,१,९,६२१९,०,२४५,१४२,९४८४०,८३७०,३८४६९,२६३४७,०,२१३०४,८६१२०,३५०
