कस.,विभाग/कार्यालय,हि,यो वर्षको आम्दानी,जम्मा आम्दानी,्र्च,बाँकी
१,अर्थ मन्त्रालय,२६१३४५,२८२,२६४१७,१७६,२६२४१
२,"उद्योग, वाणिज्य तथा पर्यटन मन्त्रालय",३५५,श४,४०९,,३५५
३,"भूमि व्यवस्था, कृषि तथा सहकारी मन्त्रालय",४३६,१३७९४५,१४२३१,८७९५,५४३६
४,उर्जा सिँचाइ तथा खानेपानी मन्त्रालय,२७०६,२६१६,५३२२,३२६४,२०५७
५,गृह सञ्चार तथा कानुन मन्त्रालय,१४८४९७,१५०३०,१६३५२७,२४०९६,१३९४३१
६,वन तथा वातावरण मन्त्रालय,१२५६१५,२७३६४,१५२९७९,७३१६४,५७९८१५
७,भौतिक पूर्वाधार विकास मन्त्रालय,७८२७,,७८२७,३५००,४३२७
८,शिक्षा तथा संस्कृति मन्त्रालय,१२४४,१२३८६,१३६३०,१०९०७,२७२३
९,स्वास्थ्य तथा जनलङ्ष्या मन्त्रालय,३२२५४,३०३४५९२,३३५८४६,२८९०३६,४६८१०
१०,प्रदेश नीति तथा योजना आयोग,४७४,०,४७४,०,४७४
११,जम्मा,३४५५४३,३७५११९,७२०६६२,४१२९९३,३०७६६९
