,,,,,,,,,आय,,,,,व्यय,,,मौज्दात
[२,,,लेखापरीक्षण रकम,रकम,प्रतिशत,सुरु मौज्दात,काट,सट,पाका,,अन्यआाय,कुलबाय,चालुखर्ष,पुँजीगत खर्च,निततीय खर्च,कुस खर्च,बाँकी
१,"राजविराज नगरपालिका, सप्तरी",सप्तरी,२६९०५०६७,७९९७३,२.९६,१२३६२९,५६९३१०,र२१६८०४,१४६३९८,३९९८०,३०८५७४,१३८५९४६,४१९४०३,३९७०३५,४९६२०२,१३१२६४०,१९६९३४५
२,"कञ्चनरुप नगरपालिका, सप्तरी",सप्तरी,१९२७१९१,४३००९,२.७५,१०४८८५,७५५३७६,२१५८७,१२९७९८,३०४११,२०१४१,९५७३१४,४७२८२५,१४२८५९,३५४१९२,९६९८७७,९२३२२
३,"डाक्नेश्री नगरपालिका, सप्तरी",सप्तरी,१५३९७३१,११९२०,०.७७,१४७०६८,४१४५३४७,९३७४,११९६४१,,२२०४९५,,३१९९३८ठ,१५६४४०,२९१८९६,७६८२७४,१५०२५२
४,"बलान-विहुल गाउँपालिका, सरी",सप्तरी,१०२७०८४,इष्प४,३३३,र२४०४३,२९२४३५,बटर,इ९्इ४ठ,,१२०७३६,अ१४१६६,र३१३१४,१५९४६१,१२२१४४,(४३०,२६०९९
५,"राजगढ गाउँपालिका, सप्तरी",,१११०२५७,१९४०९,"१,७६५",र९३८४,२७९१०८,,९४४,४९६२,१६४३४१,१४२७४२,२३००४६,१२६४१६,२००९४०,१४५७५१५,र२४६११
६,"रुपनी गाउँपालिका, सप्तरी",सप्तरी,१०९१७१६,१७१९२,"१,५१७",१३७२६२,२९५४९४,१४८४९,८००९,२९२९,१६०४०२,६४६८३,२०५२३४,१३४५०८३४,१०४५९६५,२२७०३३,१७४६१२
७,"बिष्णुपुर गाउँपालिका, सप्तरी",सप्तरी,१०२९४५०४,४२६६४,४१४,१३२०२,३९७७४२,६६७३,७४५३३,३८७२,१२०८,४९४९०७,२३५२९२,१७१९२१,१२७३८३,५३४५९६,१३५१३
८,"तिरहत गाउँपालिका, सप्तरी",,७९७६९८,२९३४९,,€४९६,२९४७११,९८०६,९०६८,र२४६८७,७४३४,३८४६०७,२१७४५९,७९८८९,११५७४३,४१३०९२,४०६८
९,"सुरुङ्गा नगरपालिका, सप्तरी",सप्तरी,१८३८१४२,१०२२०,०.५६,९५०९२,२१६२६१,१८१५१,१३०२७५,३११२८,३१४४०९,९१०२२४,४०३२६७,१७७३८४,३४७२३७,९२७९१७,५०३९९
