,,,,,,,,,आय,,,,,,व्यय,,मौज्दात
२९,,बिल्ता,लेखापरीक्षण रकम,रकम,प्रतिशत,सुरु मौज्दात,सबाट,चाट,पमा,,अन्यबाय,कुसबाप,बातुखर्ष,पुँजीगत र्ष,,कुलखर्ष,बाँकी
९८,"प्रसौनी गाउँपालिका, बारा",बारा,१०६०५६१,२१२६१,२.००,१०७५६८,२६९६६०,१४२९९,६७९१६,२३९२२,११९४३२,४९५२२८,११८४७५,१४९३४६,२९७५१२,भ६५३३३,३७४६३
९९,"सुवर्ण गाउँपालिका, बारा",बारा,१०४६९६७,१८३१३,१७५,दइ३१४६,२६३७७३,१४५४५३६,८७६८,१४३२९,११९७२६,४९९१३२,२७१९९५,११९४४१,१४१६३९९,१४७८३५,१४४४३
१००,"महागढीमाई नगरपालिका, बारा",बारा,१९३९६३५१,१०४३६६,३८,४४३०,२३८१०७,२५३७१,१३२५५९,१०७२६,२४०७५२,९५७४५१५,४४५३१५०,२५११७३,२७७५०४,९०१०३५४,३०११०
१०१,"कलैया उप महानगरपालिका, बारा",बारा,३५६३२६२,१३५३४६,"३,८५०",११४५८४५,१०१३७६३,३३९४२,२०४२१८,१५८७३६,३७७४६३,१७८८२२१,८५१३८२,३४०५२२,१७३१३७,१७७१०४०,१२९०२४
१०२,"कोल्हवी नगरपालिका, बारा",बारा,१६६०५५४,३३८२०,२.०४,,३९६४९८,२४०७६४,१४६५३६,४८३६७,२३९३९३,०४४८७३,३३७४३९,२१०२६९,र२५७९४४,००५६८२,७४०८७
१०३,जीतपुरसिमरा उप महानगरपालिका,बारा,इ८९५८१४,१३०३२६,,२७२५०१,८९९००३,४३४,इ३९३०४,२२१५४०,४३०११२,१९०९२४५,द४२८८१,१३८९,४२९७९१,१९८६५६८,१९४१७८
१०४,"फेटा गाउँपालिका, बारा",बारा,९६६६१९,२७८२३,२.८,३०५३०,र२४३२३६,१४५१४३,७७४५,६०४९,१३१०१४,४८२२०७,२३४०३२,०७१,१६०५०८,४८४४११,२८६२७
१०५,"करैयामाई गाउँपालिका, बारा",बारा,९९२९९१,१६१५२,१.६३,२१७०८,२५०९३६,१२६५६,५१२५१,५४०५,१४३४७७,४९४७२४,२४३४१०,१०१५४५,१४५३३१३,४९८२६७,४८१६५
१०६,"बारागढी गाउँपालिका, बारा",बारा,९५०६३०,४४४०,"०,४८५",०३५१,२६००२३,३६४४३,३६०३,र९४९,१०८६७०,४९१७,२१९१८९,१३७०९४५,१४०४५९,४९६७४२,४१३३९६
१०७,"परवानीपुर गाउँपालिका, बारा",बारा,८४४८६१,२४२९,०.२९,३६९३९,१९७१४१,१४१५६८,७४११६,३१२०४,९९४९५,४१६५२३,२०२९८६,१२८५००,९६८५२,४२८३३९,२५१२३
१०८,"सिम्रौनगढ नगरपालिका, बारा",बारा,१७०९८१९,१८३४३७,"१०,६७३",१६४४८२,३३६४१४,२२६७३,११५७३१,२८०४५२,२७२१८०,७७५४५०,४१४०९३,२३३५७१,२८६७०५,९३४३६९,२५६३
१०९,"पर्सागढी नगरपालिका, पर्सा",पर्सा,११७३४३६,५२०४,०.४४,,२९२८७५,१६६०,११७७८७,१०३६५,१४८३६७,४८६००३,२७१९४६,१८०११०,१३५३७७,१०७४३३,४४५८
११०,"कालिकामाई गाउँपालिका, पर्सा",पर्सा,८५१५७७४७,४६०५४,,१९९९४,२१९३८८,१९४५४,६५७४१,३५३,९७१००,४०६५५०८,२१९४२४,७६०६६,११४७७८,४१०२६८,१५२३३
१११,"सखुवा प्रसौनी गाउँपालिका, पर्सा",पर्सा,११६११६१,४०४०५,३४९,इ४९०१,इ२२४०४,१६००१,१०१६३६,इट,१२८८२३,भ७२७२१,३०६८४७,१३३७६८,१४७८२४,भ००४४०,१९१८३
११२,"बिन्दवासिनी गाउँपालिका, पर्सा",पर्सा,८इ१७२८,६२०९,०.७५,२४६६,२३०२१३,१४९५०,७४३०५,११७५७,९७०८२,४२८३०६,१७१४०९,१०४८१७,१२७१९६,४०३४२२,६७३४१
११३,"पर्टे्वा सुगौली गाउँपालिका, पर्सा",पर्सा,९६७१५०,९३६२,०.९७,१९४४०,र२४५४६२३,ब४४३डट,१०२३,१५७३,११४५४३३,४०११४५५,२२७१६३,११६४९०,१४२३४१,४०४५९९५,१४६११
११४,"पकाहा मैनापुर गाउँपालिका, पर्सा",पर्सा,२२९९३३,इ३५१०३,४०८,३४१३,२०९५९५,४२९४,इ्इ२०,८०२५,१३९५२०,४३८०५४,१८६४०४,११३३३०,१२३२३४५,४२३०६९,२८४८
११५,"जगरनाथपुर गाउँपालिका, पर्सा",पर्सा,११५९२९६,३०६४५८,"२,६४४",८०६६,२७३०८४,१८८३३,९१३१६,४५९४५,१३७१८१,२६६३५९,२८०८९४,१४२४०७,१६९६३६,५९२९३७,३१४८८
११६,"ठोरी (सुवर्णपुर) गाउँपालिका, पर्सा",पर्सा,९६७६७८,३१२९७,३३,र२४६९८,२७३६८०,१३०९५,९०६४१,४२६७,१०११५४,४८२८४७,२४०७२६,१०३४५७४,१४०५३०,४८४८३१,२२७१४
११७,"धोबीनी गाउँपालिका, पर्सा",पर्सा,८२४९०७,१८४६१,२.२४,७६८०,२१०९७८,१४०१०,४१५२,६३७१,११९४२१,४१४९३१,१७३४१४,८६२७४,१४१०२८ड,४०९९७६,१२६३४
११८,"बहुदरमाई नगरपालिका, पर्सा",पर्सा,११४२१९७,७३६६५,६.४४५,४६११२,२९२६२६,२१४४०,१००७९४,,५६४३८,१७५८४२,२६००६५४,१३४७६३,१७१४९७,१६६३५४५,४०४५९९
११९,"छिपहरमाई गाउँपालिका, पर्सा",पर्सा,६१७०८५५,२७३००,६.२४,१३५४६,२३४९०१,१७९४९,७३६५३५,१३९८७,११४६१६,४५५३८९,२०३९८५४,१३३४७७,१२५००४,४६२४६६,च्थ्च्ट
,जम्मा,,१५७६२८२३३,५५४२५७३,३.५२,१०८६१००७,४२३००४८९,२२५१४१४,१२०३३३५९,२३४६५५७,१९२३९२१२,७८१७१०३१,३४३७३३२२,१९८९६०७७,२५१८७८०३,७९४५७२०२,९५७४८३६
