कस.,मन्त्रालय/निकायको नाम,'लेखाउत्तरदायी अधिकृतको नाम,देखि,अवधि सम्म,लेखापरीक्षण रकम,२०८१।८२ को कुल बेरुजु,अङ्गको तुलनामा को तु बेरुजु प्रतिशत
,- सचिवालय,सचिव श्री अरुण कुमार झा,२०८१।०४।०१,२०८१।०६।१५,,,
१,प्रदेश सभा,कोइराला सचिव श्री बासु प्रसाद को,२०८१।०६।१५,२०८२।३।३२,०,,०.००
,मन्तिपरिषदको मुख्यमन्त्री,सचिव श्री जय कुमार घिमिरे,२०८१।०४।०१,२०८१।१२।१४,,,
२,तथा मन्ति कार्यालय सुर हि,सचिव श्री यमेन्द्र उपाध्याय,२०८१।१२।१५,२०८२।३।३२,४३२७ न ४२७४,३५ छ,०.६५
,,सचिव श्री उत्तम प्रसाद खरेल,२०८१।०४।०१,२०८१।०४।१६,,,
३,गृह सञ्चार तथा कानून मन्त्रालय,सचिव श्री उद्दव प्रसाद रिजाल,२०८१।०४।१७,२०८१।१२।०१,७८८८५२,१७७४२२,
,,सचिव श्री बिमल प्रसाद वराल,२०८२।०१।१०,२०८२।०३।३२,,,२२.४९
,अर्थ,सचिव श्री सुवासचन्द्र शिवाकोटी उुवासबन्द,२०८१।०४।० १ ११,०८१।०७।०८ देश,,०,
४,मन्त्रालय,सचिव श्री राम कुमार महतो,२०८१।०७।१२,२०८२।३।३२,११६७९६८६,,०.००
,,सचिव श्री चुडामणि फुँयाल -,२०८१।०४।०१,२०८२।२।२५,,,
,समाज कल्याण मन्त्रालय खेलकुद तथा समाज कल्त =,भने सचिव श्री रंजित कुमार यादव,२०८२।०२।२६,२०८२।३।३२,१२१४९५९,७२८१७,२.९९
,संस्कृति शिक्षा संस्कृति,सचिव श्री सुरेन्द्र महतो,२०८१।०४।०१,२०८१।६।९,,,
,तथा मन्त्रालय ७,सचिव श्री दिलिप कुमार ठाक्र,२०८१।०६।९,२०८२।३।३२,४८६०४७ पय,२३९२५,१.६१
,,सचिव श्री सन्जय कुमार ठाकुर,२०८१।०४।०१,२०८१।०९।२०,,,
७,स्वास्थ्य तथा जनसंख्या मन्त्रालय,सचिव श्री राजेश कुमार मिश्र,२०८१।०९।२१,२०८२।०३।०२,७३९९७७४,२९३५९४५,
,,सचिव श्री प्रमोद कुमार यादव,३०५३१०३१०३,२०८२।३।३२,,,३.९७
,भौतिक विकास,सचिव श्री राज कुमार गोइत कु,२०८१।०४।०१!!,२०८१।०१।०४!,,,
८,पूर्वाधार मन्त्रालय,सचिव श्री संजय कुमार साह,२०८१।०४५।०४,२०८२।३।३२,१४२१५९३४,१०५४७९२,. ७.४२
,"उर्जा, सिँचाइ खानेपानी",सचिव श्री अहमद अन्सारी,२०८१।०४।०१,२०८९१९९१९८,,,
,तथा मन्त्रालय <,. सचिव श्री राम कुमार खंग,२०८१।११।१९,२०८२।३।३२,५०६५३१४,१३६३४३,२.६९
१०,बन तथा वातावरण मन्त्रालय,सचिव श्री उद्दव घिमिरे,२०८१।०४।०१,२०८२।३।३२,२१२१५६२,२१५९४,१.०२
