खर्च शीर्षक,सुरु बबेट,अन्तिम बजेट,खर्च,खर प्रतिशत
चालु खर्च,,,,
२११०० पारिश्रमिक/सुविधा,२५१०४४,२६५२४०१,२३३५११,८७.९८
२१२०० कर्मचारीको सामाजिक सुरक्षा,१४०,१४०,,२३.५७
२२१०० सेवा महसुल,४२०२,६३४७,१२०२,८१.९५
२२२०० पुँजीगत सम्पत्तिको सञ्चालन,२५६११,२७२६१,२२८४५,८३.७९
२२३०० कार्यालय सामान तथा सेवा,१७२९०,१९११५,१२९४१,६७.७०
२२४०० सेवा तथा परामर्श खर्च,२०४१५,२०९२०,१८०१६,८६.११
२२५०० कार्यक्रम सम्बन्धी खर्च,३१०८८,३२०८८,१३०५३,४०.६७
"२२६०० अनुगमन, र भ्रमण खर्च",१५१०९,१५७०९,४९४४,३१.४७
२२७०० विविध खर्च,३५००,९७०५,७५४१,७७.६९
२७२०० औषधी उपचार,१६००,१६००,१४९९,९३.६८
२८१०० सम्पत्ति सम्बन्धी खर्च,२५००,७००,०,०
जम्मा,३७२५००,२९८९८६,२१९६२४,८०.१०
रंजीगत खर्च,,,,
३११०० स्थिर सम्पत्ति प्राप्ति पुँजीगत खर्च,१०५०००,२२३००,१८९३९,२७.५८
हल जम्मा,४७७५००,४९८१८५६,३७६७४८,७५.६२
