"कस,",नतिजा तह र सूचक,एकाई,(२०७९।८०),आर्थिक वर्ष (२०८१।८२)को लक्ष्य,आर्थिक वर्ष (२०८४।८६) को लक्ष्य
१,मोबाईल श्रवोगकर्ता,प्रतिशत,७४.८,७६,९०
२,इन्टरनेट अरवोनकर्ता,प्रतिशत,२१.२,२५,यश
३,डिजिटल पत्रिका,वटा,७४,७५,
४,डिजिटल साक्षरता,प्रतिशत,२५,३०,७५
५,फ्रि वाइफाइ जोन,सङ्ख्या,०,२०,१३६
६,प्रहरीका लागि निर्माण तथा मर्मत सम्भार गरिएका भवन लगायतका संरचना,सङ्ख्या,२६०,२७०,३१०
७,प्रहरी चौकी स्थापना भएका स्थानीय तत,सङ्ख्या,,,३५
८,प्रदेश कानुन तर्जुमा तथा पुनरावलोकन,सङ्ख्या,९७,१००,११०
९,विपद उद्धार तालिम प्राप्त जनशक्ति,जना,,४००,२०००
१०,वारुण यन्त्र भएका स्थानीय तह,सङ्ख्या,१६,२१,३०
