खरी शीर्षक,सुरुबबेट,अन्तिम बजेट,खर्च,प्रतिशत
२२१०० सेवा महसुल,४५१६,४५१६,१४०८,३१.पठ
२२२०० पुँजीगत सम्पत्तिको सञ्चालन,१५६०१,१७४०१,९०३३,२५१.९१
२२३०० कार्यालय सामान तथा सेवा,९४००,९४००,५९८४,६३.६७
२२४०० सेवा तथा परामर्श खर्च,९०३४,९०३४,४२६०,४७.१६
२२५०० कार्यक्रम सम्बन्धी खर्चह,१२५०३०,३७८२५१,१७६७६१,४६.७३
२२६०० अनुगमन मूल्याङ्कन र भ्रमण खर्च,५१००,५१००,१६१६,३१.६९
२२७०० विविध खर्च,२७३४,२७३४,१५५८,२५६.९९
२६४०० सामाजिक सेवा,११७५०,९७५०,७४०८,७५.९८
२७२०० चामाजिक सहावता,२००,२००,१८९,९४.५०
२८१०० सम्पत्ति सम्बन्धी खर्च,३०९५,६१४७,२४४२,८्य.५३
जम्मा,६३९५६०,४९५६३३,२४३५०४,४९.१३
पुँजीगत खर्च,,,,
३११०० स्थिर सम्पत्ति प्राप्ति खर्च,१३१८७९०,१२४३८९०,९५४६२९,७६.७४५
जम्मा,१९५८३५०,१७३९५२३,११९८१३३,ध्द.द्व
