,,बजेट,,,'निकासा /खर्च,,बाँकी
मन्त्रालय,चालु,'रजीगत,जम्मा,चालु,रंजीगत,जम्मा,
प्रदेश सभा,३९८९८७,९९२००,४९८१६७,३१९६२७,७१२१,३७६७४८,१२१४३८
मुख्यमन्त्री तथा भन्जिपरिषद्‌को कार्यालय,४२४९६६,भ४४४२,४७९४०८,१३९३३४५,२३१९९,१६२५३४,३१६८७४
'गृह सञ्चार तथा कानुन मन्त्रालय,२५७२०४,४५१०७४,छ०्रड,१४२०१९,३७४०९०,११६१४९,१९२१३९
अर्थ मन्त्रालय,१३७३४७,१७७७०,११५११७,११३७७८,५४८६,१२९२६४,र२४५८४५३
'खेलकुद तथा समाज कल्याण मन्त्रालय,४९५६३३,१२४३८९०,१७३९४२३,२४३४०४,९४५४६२९,११९८१३३,१४१३८९
शिक्षा तथा संस्कृति मन्त्रालय,९३६२४४,१५७२९७०,२५०९२१४,६७०९९७,१२६७२७८,१९३८२७५,२१७०९४०
स्वास्थ्य तथा जनसङ्ख्या मन्त्रालय,३४४९७४४,१८१९८८०,५२६९६२४,२४४०५१२,९९४७७२,३४३५२८४,१८३४३४०
भौतिक पूर्वाधार विकास मन्त्रालय,४८४७६३,१३७१०९४७,१४२९५७१०,४४५९३५९,१०७१६८९७,१११७६२५६,३११९४५४
उर्जा सिँचाइ तथा खानेपानी मन्त्रालय,४२२२४३,५२७३३४६,५६९४५४८९,२४७६६६,४०११९६०,४२६९६२६,१४२४९६३
तथा वातावरण मन्त्रालय,१२७४५८३,१२१६०५४,२४९०६३७,५५८३४१,१०३२२०८,१९२०५४९,२७००६८
"'उच्चोग, वाणिज्य तथा पर्यटन मन्चालय",२९६२७०,२४५६१८२,२७५२४५२,२२१११८,१७९९८५५,२०२०९७३,७३१४७९
श्रम तथा यातायात मन्त्रालय,६०७३१२,२२३२५०,८३०५६२,२३८६८३,७७९३५,३१६६१८,११३९४४
"भूमि व्यवस्था, कृषि तथा सहकारी मन्त्रालय",२३७५११२,२०३९७७,२५७९०८९,९९४४५८४,१२७०९१,११२१६७५,१४५७४१३
प्रदेश नीति तथा योजना आयोग,४४९६०,१४४०,१०४००,२६५१५४,३७५३,३०३०७,र२००९४
प्रदेश लोक सेवा आयोग,१०३२६५,र२५५६६,१२८८३१,५९३३४,५७४१,१०५०७५,र२३७५६
मुख्य न्वावाधिवक्ताको कार्यालय,३०२००,४०००,३४२००,२६६५८,२९९२,२९६५०,४५५०
अर्थ - विविध,२२६३५९,२३५६७६,४६२०३५,०,०,०,४६२०३५
स्थानीय तह,३२१३३०४,,३२१३३०४,२४८६४८८,,२४८६४८८,७२६८१६
जम्मा,१५२७८४९६,२८६१३६७४,४३८९२१७०,९७५८५९७,२१४७४५००७,३१२३३६०४,१२६५८५६४५
