खर्च शीर्षक,सुरु बजेट,अन्तिम बजेट,निकासा (खर्ची,खर्च प्रतिशत
चालु खर्च,,,,
२११०० पारिश्रमिक/सुविधा,२१८९५३,२२२३६८,१६२७४४,७३.१९
२१२०० कर्मचारीको सामाजिक सुरक्षा,१३०,१३०,७२,४३५
२३९०० सेवा महसुल,७९७५,८४७५,६६७७,७८.७८
२२२०० पुँजीगत सम्पत्तिको सञ्चालन,१६४०९,१७६२४,१५६६०,द्य.८६
२२३०० कार्वालय सामान तथा सेवाह,४३०८५,४४७२०,४२२७३,९४.५३
२२४०० सेवा तथा परामर्श खर्च,५२१६१,६९५५६,५३२७२,७६.५९
२२५०० कार्यक्रम सम्बन्धी खर्च,७०६४०४,५११०७९,३३४५३३,६५.४६
२२६०० अनुगमन मूल्याङ्कन र भ्रमण खर्च,२४४८,६२९८,४५४२,७२.१२
२२७०० विविध खर्च,१६८५,१२०५८,१२०४९,९९.९३
२६३०० अन्य तहका खर्च,,५०,०,०
२६४०० सामाजिक सेवा,६८४५००,१३०००,११०००,८४.६२
२७२०० सामाजिक सहायता,२१४००,२१४००,२०१०१,९३.९३
२८१०० चन्चािसन्तन्धी खर्च,४९५६,९४८६,८०७३,८५.१०
जम्मा,११४७१५६,९३६२४५,६७०९९६,७१.६७
रंजीगत खर्च,,,,
३११०० स्थिर सम्पत्ति प्राप्ति पुँजीगत खर्च,१७५८०२०,१५७२९७०,१२६७२७८,८०.५१७
जम्मा,२९०५१७६,२४५०९२१५,१९३८२७४,७७.२५
