खर्च शीर्षक,सुरु बजेट,अन्तिम बजेट,खर्च,खर्च प्रतिशत
चालु खर्च,,,,
२११०० पारित्रमिक/सुविधा,१६८६६८,१६९०१८,८४२५७,४९.८५
२९३०० कर्मचारीको सामाजिक सुरक्षा,१०३३,१०३३,४७०,"४५,४५०"
२२१०० सेवा महसुल,७५५९,७९०९,४८३६,९.९%
२३३०० पुँजीगत खन्पततिको सञ्चालन,२१३५६,२२६५६,१९११२,८४.३६
२२३०० कार्वालय सामान तथा सेवा,१२६७५,१२८७४५,१०६१६,"८२,४४५"
२२४०० सेवा तथा परामर्श खर्च,३८६७६,३२७६६,२१६३२,६६.०२
२२५०० कार्यक्रम सम्बन्धी खर्च,५०००,७४१०,४४७८,६०.४३
२२६०० अनुगमन मूल्याङ्कन र भ्रमण खर्च,५७२६,६२२६,५७२४,९१.९४
२२३०० विविध खर्च,४४००,%३००,४८३७,९३.०२
२६३०००० समपूरक अनुदान,१५५०००,२९३%००,३००९३३,९५.७४
२८१०० सम्पत्ति सम्बन्धी खर्च,६१७०,६१७०,३२६५,५२.९२
जम्मा,४२६२६३,५८४७६३,४२५९३५९,७८.५५
रंजीगत खर्च,,,,
३११०० स्थिर सम्पत्ति प्राप्ति खर्च,१२६७९०११,१३७००९४७,१०७१६८१४,७८.२२
३१४११ जग्गा प्राप्ति,१००००,१००००,८३,०.८३
जम्मा,१२६८९०११,१३७१०९४७,१०७१६८९७,७८.१६
तल जम्मा,१३११५२७४,१४२९५७१०,१११७६२५६,७८.१७
