खर्च शीर्षक,सुरु बबेट,अन्तिम बजेट,खर्च,खर्च प्रतिशत
चालु खर्च,,,,
२११०० पारिश्रमिक/सुविधा,२४५८२३,२४६४१८,१२०४९४,५.५%
२१२०० कर्बचारीको सामाजिक सुरक्षा,१३९०,१३९०,६४९,४६.६९
२२१०० सेवा महसुल,१५७७९,१६२२९,१०९९५,६७.७४
२२२०० पुँजीगत सम्पत्तिको सञ्चालन,४१६१४,४४२१४,३८१३८,८६.२४५
२२३००कार्यालय सामान तथा सेवाहरू,१४४४२,१५८४२,१४५६६,९१.९४
२२४०० सेवा तथा परामर्श खर्च,६१५५२,६३४८५,४९६२५,७८.१६
२२५०० कार्यक्रम सम्बन्धी खर्चहरू,२५८००,६६४५,२८२३,४२.४८
"२२६०० अनुगमन, २ूल्याङ्गन र भ्रमण खर्च",९८००,१०४००,९४४४,९०.८०
२२७०० विविध खर्च,४६५६,२३५६,२३१४,९९.१९
२८१०० सम्पत्ति सम्बन्धी खर्च (घरभाडा),१२२६३,१२२६३,५६१७,"४५,८०"
जम्मा,४३३११९,४२२२४२,२५७६६४५,६१.०२
एंजीगत खर्च,,,,
३११०० स्थिर सम्पत्ति प्राप्ति खर्च,४७४६५२३,२२७३३४६,४०११९६०,७६.०७
हःल जम्मा,५२१७९६४२,५६९५५८०८०८,४२६९६२५,७४.९६
