खरी शीष्क,,अन्तिम बजेट,खर्च,खर्च प्रतिशत
चालु खर्च,,,,
२११०० पारिश्रमिक/सुविधा,८४१९३,४६४५,५३८१४,६३.५८
२१२०० कर्मचारीको सामाजिक सुरक्षा,१२४१,१२४१,३८१,३०.७०
२२१०० सेवा महसुल,४७१८,५०४६,३५५९,७०.४९
२२२०० पुँजीगत सम्पत्तिको सञ्चालन,१८८१०,२१३६४,१९६३१,९१.८७
२२३०० कार्यालष सामान तथा सेवा,१३७८०,१४९४०,१४४२४५,९६.५४
२२४०० सेवा तथा परामर्श खर्च,२५०७३,२७३७६,२५२७६,९२.३३
२२५०० कार्यक्रम सम्बन्धी खर्च,१६५९६०,११३०१०,८३१९०,७३.६१
"२२६०० अनुगमन, र भ्रमण खर्च",१४७४६,१४९४६,दव९९,२९.४३
२२७०० विविध खर्च,४३८०,५०१०,४९९९,९९.७८
२५३०० अन्य सहायता,२४५०,४०,२५०,२.६
२८१०० सम्पत्ति सम्बन्धी खर्च,७९९६,८२४१,६६९५,८१.२३
जम्मा,३४३३४७,२९६२६९,२२१११९,७४.६३
पुँजीगत खर्च,,,,
३११०० स्थिर सम्पत्ति प्राप्ति,२६४२४७५,२४५६१८२,१७९९८५४,७३.२८
कुल जम्मा,२९८५८२२,२७५२४५१,२०२०९७३,७३.४२
