. क्रस.,सूचकहरू,आधार वर्ष (२०७९।८०)अवस्था,२०८१।८२ लक्ष्य,२०८५।८६ लक्ष्य
१,कृषि क्षेत्रको वृद्धिदर (प्रतिशत),३.१,४.३,४.७
२,आधारभूत खाद्य सुरक्षित परिवार (प्रतिशत),८५.७,८६,९०
३,कृषि श्रम उत्पादकत्व (रु.हजारमा),३१,३२,४०
४,श्रतिव्वत्ति खाद्यान्न उपलब्धता (कि.ग्रा.),३६५.७,३६८.५,३८५.३
५,उच्च खाद्य असुरक्षामा रहेको परिवार (प्रतिशत),१.१,०.९,०.५
६,भू-उपयोग नीति लागु भएको स्थानीय तह,उपलन्ध नभएको,१०,१०
७,चक्लाबन्दी गरी न्यावसाथिक खेती (हेक्टर),उपलब्ध नभएको,५००,"४,०००"
८,भूमि वैङ्ग स्थापना भएका स्थानीय तह,उपलब्ध नभएको,२,३
९,कुल स६करी संस्था सङ्ख्या,"४,१५३","४,१००","४,०००"
१०,सहकारीमा आबद्ध सदस्य (हजारमा),२५५,५६४,६००
११,सहकारीमा प्रत्यक्ष रोजगारी (सङ्ख्या),"१०,८४३","११,१६९","१५,०००"
१२,कोषोभिल्ल प्रयोग गर्ने ६%१० सङ्ख्या,उपलब्ध नभएको,५००,"१,०००"
