खर्च शीर्षक,सुरु बबेट,भन्तिबबणट,निकासा/खर्च,खर्च प्रतिशत
चालु खर्च,,,,
२११०० पारिश्रमिक /सुविधा,५६५५,५६५५,४८४३,८५.६४
२१२०० कर्मचारीको सामाजिक सुरक्षा,२१४,२१४,७४,३४.१२८
२२१०० सेवा महसुल,१३७०,१३७०,११६८,८५.२६
२३२०० पुँजीगत “्पत्तिको सञ्चालन,३२२३,३२२३,३०९२,९५.९४
२२३०० कार्यालय सामान तथा सेवाहरू,२०००,२०००,१७६३,८०.१५
'२२४०० सेवा तथा परामर्श खर्च,८१४५,८१४५,८०८७,९९.२९
२२५०० कार्यक्रम सम्बन्धी खर्चहरू,६५००,६१००,५०१०,७७.०८
"२२६०० अनुगमन, मूल्याङ्कन र भ्रमण खर्च",१५८५,१५८५,१३२२,८३.४१
२२७०० विविध खर्च,७००,७००,६९५,९९.२९
२८१०० सन्पत्तिकषन्जन्धी खर्च,द्०्द,,६०४,७४.७५
जम्मा,३०२००,३०२००,२६६९८०,
पुँजीगत खर्च,,,,
३११०० स्थिर सम्पत्ति प्राप्ति खर्च,४०००,४०००,२९९२,७४.८
कुल जम्मा,३४२००,३४२००,२९६५०,८६.७०
