परिच्छेद,शीर्षक,पृष्ठ
महालेखापरीक्षकको भनाइ,,
"लेखापरीक्षणको उद्देश्य, क्षेत्र र पद्धति एकीकृत वित्तीय विवरणमा राय",,
परिच्छेद १,लेखापरीक्षण गरिएका निकायको विवरण .........................०44444444474गयय,१
परिच्छेद २,लेखापरीक्षणबाट देखिएका बेरुजुको स्थिति..............................न----77777777777777,तर
परिच्छेद ३,लेखापरीक्षणबाट देखिएका प्रमुख बेहोराको सारांश...................................---77,]
,खण्ड - १ : मन्त्रालय र निकायगत बेहोरा,
,१. प्रदेश सभा सचिवालय .................. नन ननननननकनननननननननमननमपपनन,१३
,"२. मुख्यमन्त्री तथा मन्त्रिपरिषद्को कार्यालय ...................,,, नन पपन ननकककन",१५
,"३. आन्तरिक मामिला तथा कानुन मन्त्रालय .................,.ननन444444नननकक ककन किकनन",२१
,"४. आर्थिक मामिला मन्त्रालय ....................,न44,, ककन nsnes",२५
Y.,"उद्योग, पर्यटन, वन तथा वातावरण मन्त्रालय........................,111477777777777",३९
६.,भूमि व्यवस्था कृषि तथा सहकारी मन्त्रालय .................. ssenenens,४६
७.,भौतिक पूर्वाधार T Ca i 1 N,५२
८.,"सामाजिक विकास मन्त्रालय .............. न... नन, नन क पनकपनपपपनकपनन",६२
,९. प्रदेश नीति तथा योजना AT oo ssesss,६्ट
,१०. प्रदेश लोक सेवा आयोग,
,११. मुख्य न्यायाधिवक्ताको कार्यालय,
,खण्ड - २ : स्थानीय OO,
परिच्छेद ४,लेखापरीक्षण प्रतिवेदन कार्यान्वयनको स्थिति ...............................114471447744775,८१
परिच्छेद ५,"भविष्यमा गर्नुपर्ने सुधार ..............................,०1444444 पपन",o3
