क्रस,मन्त्रालय / निकायको नाम,अङ्ग,,,बाँकी बेरुजु,,,लेखापरीक्षण अङ्गको तुलनामा
,,,असूल गर्ने सूल गर,अनियमित बेरुजु,पेस्की,रकम,कुल बेरुजु प्रतिशत कुल भैरुचु प्रतिशत,३ प्रतिशत
१,प्रदेश सभा सचिवालय,०,,,,,,
२,मुख्यमन्त्री तथा कार्यालय,३५३०७३,३०६,१२६५,०,१५७१,०.२६,०.४४
३,अन्तरिक मामिला तथा कानुन मन्त्रालय,३३४६२६,०,२८२३३,,र२८२३३,४.६७,दश
४,आर्थिक मामिला मन्त्रालय,३९१३९०४,०,०,०,०,०,०
४,"उद्योग, पर्यटन, वन तथा वातावरण मन्त्रालय",२३०५७४७,२७९२,४१३४०,०,४४१४२,७.३,१९१
६,"भूमि व्यवस्था, कृषि तथा सहकारी मन्त्रालय",१९२१८६४५,१८००,३०७०४,०,इ२६०४,२३७,१६९
७,भौतिक पूर्वाधार विकास मन्त्रालय,११७३३६०७,४४६०२,१९५५३७,४२७८९,२७६६३१,४६.७७,२.३६
८,सामाजिक विकास मन्त्रालय,१८८५५६३०,५२५७,र२०३८६४,६२००,२२१६१८,३५.६,१.१८
९,प्रदेश नीति तथा योजना आयोग,३०२४७,१७६,१४,०,१९०,०.०३,०.६३
१०,प्रदेश लोक सेवा आयोग,२०४५६,०,०,०,०,०,०
९९,मुख्य न्याथधिवक्ताको कार्यालय,०,,,०,,,
,जम्मा,३९४९९१५५,५४९३३,५००९६७,४८९८९,६०४८८९,१००,१.५३
