= शीर्षक,सुरुबबेट,कायम बजेट,खर्च,खर्च प्रतिशत
चालु खर्च,,,,
२११०० पारिश्रमिक/सुविधा,९३९३१,९४६७४५,७४९४५,७९.१६
२१२०० कर्मचारीको सामाजिक सुरक्षा,१७३,१७३,४६,२६.५९
२२१०० सेवा महसुल,४६११,४८११,४१६२,८६.५१
२२२०० पुँजीगत सम्पतिको सञ्चालन,११५३०,१३६३०,१२९६४५,९५.१२
२२३०० कार्यालय सामान तथा सेवा,४०१२,४६१२,४२५१,९२.१७
२२४०० सेवा तथा परामर्श खर्च,१०८९१,१०८९१,१००९२,९२.६६
२२५०० कार्यक्रम सम्बन्धी खर्च,१४४२०,१०६२०,८०८१,७६.०९
"२२६०० अनुगमन, भूल्याङ्गा र भ्रमण खर्च",७५१०,७९१०,७९०७,९९.९६
२२७०० विविध खर्च,८२१५,८५१५,८१०४,९९.८८
२८१०० सम्पत्ति सम्बन्धि खर्च,१०१४३,१०३४३,९२३८,८९.३२
जम्मा,१६५४३६,१६६१८०,१४०१९२,८४.३६
