खर्च शीर्षक,सुरु बबेट,अन्तिम बजेट,खर्च,खर्च प्रतिशत
चालु खर्च,,,,
२११०० पारिश्रमिक/सुविधा,५६८२७,५७०६१,३९६६१,६९.५१
२१२०० कर्मचारीको सामाजिक सुरक्षा,२७८१,२७८१,१४७,२.२५
२२१०० सेवा महसुल,५१३९,५१५४,३२४४,६२.९२
२२२०० पुँजीगत सम्पत्तिको सञ्चालन,१५७५८,१६२४८,१२९४३,७९.६६
२२३०० कार्यालय सामान तथा सेवा,१४९१०,१४९१०,१०३५७,६९.४६
२२४०० सेवा तथा परामर्श खर्च,११७२६,११७७६,१,७३.३४
२२५०० कार्यक्रम सम्बन्धी खर्च,५८६३१,३८७३१,१५०३३,३८.८१
"२२६०० अनुभसन, मूल्याङ्कन र भ्रमण खर्च",१२७८७,१२७८७,६४२०,५०.२१
२२७०० विविध खर्च,५८३५,५८३५,४९००,८३.९६
२८१०० सम्पत्ति सम्बन्धी खर्च,६१३३,६१३३,४९८४,८१.२५
२८९०० भैपरी आउने चालु,४०७८८६,१०१७४१,०,०
जम्मा,५९८४१३,२७३१५७,१०६३२७,र३े८.९२
ऐंजीगत खर्च,,,,
३१००० स्थिर सम्पत्ति प्राप्ति खर्च,२९०७५,३४८२५,३२८२१,९४.२४
३१५०० भैपरी आउने पुँजीगत,२५००००,६०७१३६,०,०
जम्मा,२७९०७५,६४१९६१,३े२८२१,५.११
वित्तीय व्यवस्था तर्फ,,,,
३२१०० शेयर तथा क्रण लगानी,१००००,१००००,०,
कुल खर्च,७४८८,९२५११५८,१३९१४०८,१५.०४
