निकायको नाम,सुरु,ब्डिँ,कायम,बबेट,स्वन्नान्तरनाट,थप घट प्रतिशत
,चालु,एंजीगत,चालु,रजीगत,चालु,एंजीगत
प्रदेश सभा सचिवालय,१६५४३६,१६३४६,१६६१८०,१७०६६,०.४५,४.४०
प्रदेश लोक सेवा आयोग,७४२६८,५०००,७४२६८,५०००,०.००,०.००
सुल्यमन्त्री तथा भन्जिचरिष५को कार्यालय,३१९५३२,३३२३५,२८२८३२,२९४३५,-११.४९,-११.४३
आर्थिक मामिला मन्त्रालय,१९०१२७,२९०७४५,१७१४१६,३४८२५,-१०.०३,१९.७८
"'उच्योग,पर्यटन,वन तथा वातावरण मन्त्रालय",१००४९९९,८९३०६१,१०११८८४५,९०२५६१,०.६९,१.०६
"भूमि व्यवस्था,कृषि तथा सहकारी मन्त्रालय",२६४४६२१,२७२२१९,२५५१५३६,२५२२१९,,३%
आन्तरिक मामिला तथा कानुन मन्त्रालय,१२१५५०,२४३२०१,१०६३५०,१२६३०१,-१२.११,-४८.०७
भौतिक पूर्वाधार विकास मन्चालय,४९३१३२,१४१०४७५२,४९२२७४,१४४१५४५२,-०.१७,२.२०
सामाजिक विकास मन्त्रालय,४०६०४२१,२९१३७३४,४०८९८३३,२३७०६२८,०.२३,-१८.६४
प्रदेश नीति तथा योजना आयोग,४०२७३,१८००,४४१६३,१९००,६.६६,२.५६
अर्थ विविध,३७९८८६,२५००००,११६४२८,६०७१३६,-६९.३५,१४२.८५
स्थानीय तह,३३८१७६०,०,३७८९१४०,०,१२.०४५,०.००
जम्मा,१२८९६४०५,१८७६२४२३,१२८९६३०५,१८७६२५२३,०.०१,
