खच शीर्षक,सुरु बबेट,अन्तिम बजेट,,खच प्रतेशत
२२४०० सेवा तथा परामर्श खर्च,७२५८९,७३१६८,१९४२२,८१.२१
२२५०० कार्यक्रम सम्बन्धी खर्च,१८२०४८०,१७६०८३६,१२७११६४,७२.१९
"२२६०० अनुगमन, भूलयाङ्का र भ्रमण खर्च",३३३७७,३३३७७,२२५३७,६७.५२
२२७०० विविध खर्च,१२३७३,१२३७३,९७४७,७८.७८
२६४०० चामाजिक सेवा अनुदान,२६९७००,२३५६००,१६१३०१,६८.४६
२८१०० सम्पत्ति सम्बन्धी खर्च,७३९५,७३९५,५३६१,७२.४९
जम्मा,२६४४६२१,२५५१५३६,१७९७७८६,७०.४६
पूँजीगत खर्च,,,,
३११०० स्थिर सम्पत्ति प्राप्ति खर्च,२७२२१९,२५२२१९,६८४५२८,२७.१७
जम्मा,२९१६८४०,२८०३७५५,१८६६३१४,६६.५६
