". कस,",सूचक,बोजनाको लक्ष्य,राष्ट्रिय स्थिति २०८१।८२,प्रदेशको स्थिति २०८१।८२
१,वचार्षिक औसत आर्थिक वृद्धि दर (प्रतिशत),१०.५,४.६१,३
२,प्रति व्यक्ति राष्ट्रिय आय (अमेरिकी डलर),१७१५,१५१७,११५३
३,निरपेक्ष भरिवीको रेखामुनि रहेको जनसङ्धय। (प्रतिशत),११,२०.२४,३४.१०
४,बहुआयामिक गरिविमा रहेको जनसङ्«या (प्रतिशत),१३,१७.४,२५.३०
५,मानव विकास सूचकाङ्क,०.६२१,०.६२२,०.१४७
६,लैंगिक विकास सूचकाङ्क,०.९६३,०.५,०.९०३
७,विद्युतमा पहुँच प्राप्त परिवार (प्रतिशत),९९,९९,८६.६
८,अपेक्षित आयु ( जन्म हुँदाको) (वर्ष),७२,७१.३,७१.१
९,साक्षरता दर,९०,७६.३,७६.२
१०,मातृ मृत्युदर (क्रतिलाख जीवित जन्ममा ) (जना),१३०,१५१,११०
