अस्वतालको नाम,त पो जिन्मेनारी,आय,जम्मा आय,यस वर्षको खर्च,यस वर्षको बचत,बाँकी
"सेती प्रादेशिक अस्पताल, धनगढी",६६६१९,९४०४२०,१००७०३९,९४२४६१,-२०४१,६४१५७८
"टीकापुर अस्पताल, कैलाली",१५४६८,४२५४२४,४४०८९२,४२८८६९,३४४५,१२०२३
"महाकाली अस्पताल, कञ्चनपुर",१७५२७६,४३१३३३,४४८९०९,४२८६९९,२६३४,२०२१०
"जिल्ला अस्पताल, डोटी",६०६०,१२८८३२,१३४८९२,१२६३२९,२५०३,८५६३
"जिल्ला अस्पताल, बैतडी",१६९०,१४६४००,१४८०९०,१३८८५७,७५४३,९२३३
"जिल्ला अस्पताल, बाजुरा",७२१९,१२२१६३,१२९३८१,१२५७५२,-३१८९,३६३०
"जिल्ला अस्पताल, दार्चुला",३५०३,१११४८२,११४९८६,११३६४९,-२१६७,१३३६
"जिल्ला अस्पताल, अछाम",२७१२,१०७४०८,११०१२०,१०६२०९,११९९,३९११
"जिल्ला अस्पताल, बझाङ",४०९२,१४८१२२,१५२२१४,१४९२८३,-११६१,२९३१
जम्मा,१२४९३९,२५६१५८४,२६८६५२३,२४५६०१०८,१४७६,१२६४१५
