क्रस.,सूचक,बोणनाको लक्ष्य,राष्ट्रिय स्थिति,प्रदेशको स्थिति
१,वार्षिक औसत आर्थिक वृद्धि दर (प्रतिशत),१०.५,४.६१,३.३२
२,प्रति व्यक्ति राष्ट्रिय आय (अमेरिकी डलर)),१७१५,१५१७,११५३
३,निरपेक्ष गरिवीको रेखामुनि रहेको जनसङ्«व। (प्रतिशत),११,२०.२७,३४.१०
४,बहुआयामिक गरिविमा रहेको जनसङ्ख्या (प्रतिशत),१३,१७.४,२५.३०
५,मानव विकास सूचकाङ्क,०.६२१,०.६२२,"०,१४७"
६,लैंगिक विकास सूचकाङ्क,०.९६३,०.ददश,०.९०३
७,विद्युतमा पहुँच प्राप्त परिवार (प्रतिशत),९९,९९,८६.६
८,अपेक्षित आयु (जन्म हुँदाको) (वर्ष,७२,७१.३,७१.१
९,साक्षरता दर,९०,७६.३,७६.२
१०,मातृ मृत्युदर (प्रतिलाख जीवित जन्ममा) (जना),१३०,१५१,११०
