खर्च शीर्षक,रुरुबबेट,कायम बजेट,खरी,= प्रतिशत
चालु खर्च,,,,
२११०० पारिश्रमिक/सुविधा,२४०१८,२४०१८,१३९७०,५८.२
२१२०० कर्मचारीको सामाजिक सुरक्षा,२१६,२१६,४९,२२.६
२२१०० सेवा महसुल,१३६०,१३६०,७६७,५६.४
२२२०० पुँजीगत सम्पत्तिको सञ्चालन,३४९२,३४९२,२५२०,७२.२
२२३०० कार्यालय सामान तथा सेवा,१४८७,५४८७,४४५९,८१.३
२२४०० सेवा तथा परामर्श खर्च,७८४९,७८४९,२३५४,६८.२
२२५०० कार्यक्रम सम्बन्धी खर्च,३९००,३९००,१४२१,३६.४
"२२६०० अनुभभन, मूल्याङ्कन र भ्रमण खर्च",३३१०,३३१०,१४७७,४४.६
२२७०० विविध खर्च,२१४०२,२१४०२,१३९०२,६४५.०
२८१०० सम्पत्ति सम्बन्धी खर्च,३२३४,३२३४,२०११,६२.२
जम्मा,७४२६८,७४२६८,४१९३०,६१.८
पूँजीगत खर्च,,,,
३१००० स्थिर सम्पत्ति प्राप्ति खर्च,५०००,५०००,३६३९,७२.८
तल जम्मा,७९२६८,७९२६८,४९५६९,६२.४५
